film,year,category,award,name,age0,age
The Philadelphia Story,1941,Best Actor,winner,James Stewart,32,25-39
The Letter,1941,Best Actress,nominee,Bette Davis,32,25-39
Johnny Eager,1943,Best Supporting Actor,winner,Van Heflin,32,25-39
The Jolson Story,1947,Best Actor,nominee,Larry Parks,32,25-39
Johnny Belinda,1949,Best Actress,winner,Jane Wyman,32,25-39
The Snake Pit,1949,Best Actress,nominee,Olivia de Havilland,32,25-39
My Foolish Heart,1950,Best Actress,nominee,Susan Hayward,32,25-39
Come to the Stable,1950,Best Supporting Actress,nominee,Celeste Holm,32,25-39
Sunset Blvd.,1951,Best Actor,nominee,William Holden,32,25-39
Broken Arrow,1951,Best Supporting Actor,nominee,Jeff Chandler,32,25-39
From Here to Eternity,1954,Best Actress,nominee,Deborah Kerr,32,25-39
A Star Is Born,1955,Best Actress,nominee,Judy Garland,32,25-39
Carmen Jones,1955,Best Actress,nominee,Dorothy Dandridge,32,25-39
Marty,1956,Best Supporting Actress,nominee,Betsy Blair,32,25-39
Written on the Wind,1957,Best Supporting Actress,winner,Dorothy Malone,32,25-39
The Defiant Ones,1959,Best Actor,nominee,Sidney Poitier,32,25-39
Anatomy of a Murder,1960,Best Supporting Actor,nominee,George C. Scott,32,25-39
Breakfast at Tiffany's,1962,Best Actress,nominee,Audrey Hepburn,32,25-39
The L-Shaped Room,1964,Best Actress,nominee,Leslie Caron,32,25-39
Twilight of Honor,1964,Best Supporting Actor,nominee,Nick Adams,32,25-39
Becket,1965,Best Actor,nominee,Peter O'Toole,32,25-39
Isadora,1969,Best Actress,nominee,Vanessa Redgrave,32,25-39
Midnight Cowboy,1970,Best Actor,nominee,Dustin Hoffman,32,25-39
"They Shoot Horses, Don't They?",1970,Best Actress,nominee,Jane Fonda,32,25-39
Easy Rider,1970,Best Supporting Actor,nominee,Jack Nicholson,32,25-39
Love Story,1971,Best Actress,nominee,Ali MacGraw,32,25-39
The Godfather,1973,Best Supporting Actor,nominee,Al Pacino,32,25-39
Cinderella Liberty,1974,Best Actress,nominee,Marsha Mason,32,25-39
Blazing Saddles,1975,Best Supporting Actress,nominee,Madeline Kahn,32,25-39
Annie Hall,1978,Best Actress,winner,Diane Keaton,32,25-39
The French Lieutenant's Woman,1982,Best Actress,nominee,Meryl Streep,32,25-39
The Color Purple,1986,Best Supporting Actress,nominee,Oprah Winfrey,32,25-39
Peggy Sue Got Married,1987,Best Actress,nominee,Kathleen Turner,32,25-39
Big,1989,Best Actor,nominee,Tom Hanks,32,25-39
My Left Foot,1990,Best Actor,winner,Daniel Day-Lewis,32,25-39
The Grifters,1991,Best Supporting Actress,nominee,Annette Bening,32,25-39
What's Love Got to Do with It,1994,Best Actor,nominee,Laurence Fishburne,32,25-39
Nell,1995,Best Actress,nominee,Jodie Foster,32,25-39
Leaving Las Vegas,1996,Best Actor,winner,Nicolas Cage,32,25-39
Leaving Las Vegas,1996,Best Actress,nominee,Elisabeth Shue,32,25-39
Twelve Monkeys,1996,Best Supporting Actor,nominee,Brad Pitt,32,25-39
Hilary and Jackie,1999,Best Actress,nominee,Emily Watson,32,25-39
Before Night Falls,2001,Best Actor,nominee,Javier Bardem,32,25-39
Bridget Jones's Diary,2002,Best Actress,nominee,Ren_e Zellweger,32,25-39
Blood Diamond,2007,Best Actor,nominee,Leonardo DiCaprio,32,25-39
Volver,2007,Best Actress,nominee,Pen_lope Cruz,32,25-39
La Vie en Rose,2008,Best Actress,winner,Marion Cotillard,32,25-39
The Assassination of Jesse James by the Coward Robert Ford,2008,Best Supporting Actor,nominee,Casey Affleck,32,25-39
Crazy Heart,2010,Best Supporting Actress,nominee,Maggie Gyllenhaal,32,25-39
Aron Ralston,2011,Best Actor,nominee,James Franco,32,25-39
The Barker,1930,Best Actress,nominee,Betty Compson,33,25-39
The Rogue Song,1931,Best Actor,nominee,Lawrence Tibbett,33,25-39
Becky Sharp,1936,Best Actress,nominee,Miriam Hopkins,33,25-39
Night Must Fall,1938,Best Actor,nominee,Robert Montgomery,33,25-39
The Awful Truth,1938,Best Supporting Actor,nominee,Ralph Bellamy,33,25-39
The Citadel,1939,Best Actor,nominee,Robert Donat,33,25-39
Rebecca,1941,Best Actor,nominee,Laurence Olivier,33,25-39
The Philadelphia Story,1941,Best Actress,nominee,Katharine Hepburn,33,25-39
The Little Foxes,1942,Best Actress,nominee,Bette Davis,33,25-39
So Proudly We Hail!,1944,Best Supporting Actress,nominee,Paulette Goddard,33,25-39
The Seventh Cross,1945,Best Supporting Actor,nominee,Hume Cronyn,33,25-39
Anchors Aweigh,1946,Best Actor,nominee,Gene Kelly,33,25-39
A Song to Remember,1946,Best Actor,nominee,Cornel Wilde,33,25-39
The Best Years of Our Lives,1947,Best Supporting Actor,winner,Harold Russell,33,25-39
Kiss of Death,1948,Best Supporting Actor,nominee,Richard Widmark,33,25-39
When My Baby Smiles at Me,1949,Best Actor,nominee,Dan Dailey,33,25-39
Joan of Arc,1949,Best Actress,nominee,Ingrid Bergman,33,25-39
Twelve O'Clock High,1950,Best Actor,nominee,Gregory Peck,33,25-39
Champion,1950,Best Actor,nominee,Kirk Douglas,33,25-39
The Heiress,1950,Best Actress,winner,Olivia de Havilland,33,25-39
All About Eve,1951,Best Supporting Actress,nominee,Celeste Holm,33,25-39
From Here to Eternity,1954,Best Actor,nominee,Montgomery Clift,33,25-39
From Here to Eternity,1954,Best Supporting Actress,winner,Donna Reed,33,25-39
Interrupted Melody,1956,Best Actress,nominee,Eleanor Parker,33,25-39
The Defiant Ones,1959,Best Actor,nominee,Tony Curtis,33,25-39
Lonelyhearts,1959,Best Supporting Actress,nominee,Maureen Stapleton,33,25-39
The Defiant Ones,1959,Best Supporting Actress,nominee,Cara Williams,33,25-39
"Murder, Inc.",1961,Best Supporting Actor,nominee,Peter Falk,33,25-39
Psycho,1961,Best Supporting Actress,nominee,Janet Leigh,33,25-39
This Sporting Life,1964,Best Actor,nominee,Richard Harris,33,25-39
The Pumpkin Eater,1965,Best Actress,nominee,Anne Bancroft,33,25-39
The Unsinkable Molly Brown,1965,Best Actress,nominee,Debbie Reynolds,33,25-39
The Russians Are Coming the Russians Are Coming,1967,Best Actor,nominee,Alan Arkin,33,25-39
The Sand Pebbles,1967,Best Supporting Actor,nominee,Mako,33,25-39
Who's Afraid of Virginia Woolf?,1967,Best Supporting Actor,nominee,George Segal,33,25-39
Bob & Carol & Ted & Alice,1970,Best Supporting Actress,nominee,Dyan Cannon,33,25-39
M*A*S*H,1971,Best Supporting Actress,nominee,Sally Kellerman,33,25-39
Nicholas and Alexandra,1972,Best Actress,nominee,Janet Suzman,33,25-39
Fiddler on the Roof,1972,Best Supporting Actor,nominee,Leonard Frey,33,25-39
Sounder,1973,Best Actor,nominee,Paul Winfield,33,25-39
The Godfather,1973,Best Supporting Actor,nominee,James Caan,33,25-39
Serpico,1974,Best Actor,nominee,Al Pacino,33,25-39
Dog Day Afternoon,1976,Best Supporting Actor,nominee,Chris Sarandon,33,25-39
Taxi Driver,1977,Best Actor,nominee,Robert De Niro,33,25-39
"Cousin, Cousine",1977,Best Actress,nominee,Marie-Christine Barrault,33,25-39
Norma Rae,1980,Best Actress,winner,Sally Field,33,25-39
Starting Over,1980,Best Supporting Actress,nominee,Candice Bergen,33,25-39
Sophie's Choice,1983,Best Actress,winner,Meryl Streep,33,25-39
Frances,1983,Best Actress,nominee,Jessica Lange,33,25-39
Missing,1983,Best Actress,nominee,Sissy Spacek,33,25-39
Tootsie,1983,Best Supporting Actress,winner,Jessica Lange,33,25-39
Cry Freedom,1988,Best Supporting Actor,nominee,Denzel Washington,33,25-39
The Accidental Tourist,1989,Best Supporting Actress,winner,Geena Davis,33,25-39
Howards End,1993,Best Actress,winner,Emma Thompson,33,25-39
The English Patient,1997,Best Supporting Actress,winner,Juliette Binoche,33,25-39
Erin Brockovich,2001,Best Actress,winner,Julia Roberts,33,25-39
Ali,2002,Best Actor,nominee,Will Smith,33,25-39
Chicago,2003,Best Actress,nominee,Ren_e Zellweger,33,25-39
Chicago,2003,Best Supporting Actress,winner,Catherine Zeta-Jones,33,25-39
Chicago,2003,Best Supporting Actress,nominee,Queen Latifah,33,25-39
The Reader,2009,Best Actress,winner,Kate Winslet,33,25-39
Changeling,2009,Best Actress,nominee,Angelina Jolie,33,25-39
The Noose,1929,Best Actor,nominee,Richard Barthelmess,34,25-39
The Patent Leather Kid,1929,Best Actor,nominee,Richard Barthelmess,34,25-39
The Valiant,1930,Best Actor,nominee,Paul Muni,34,25-39
The Royal Family of Broadway,1932,Best Actor,nominee,Fredric March,34,25-39
The Private Life of Henry VIII,1934,Best Actor,winner,Charles Laughton,34,25-39
It Happened One Night,1935,Best Actor,winner,Clark Gable,34,25-39
Romeo and Juliet,1937,Best Actress,nominee,Norma Shearer,34,25-39
Pigskin Parade,1937,Best Supporting Actor,nominee,Stuart Erwin,34,25-39
"Goodbye, Mr. Chips",1940,Best Actor,winner,Robert Donat,34,25-39
Ninotchka,1940,Best Actress,nominee,Greta Garbo,34,25-39
Ball of Fire,1942,Best Actress,nominee,Barbara Stanwyck,34,25-39
"Now, Voyager",1943,Best Actress,nominee,Bette Davis,34,25-39
All the King's Men,1950,Best Supporting Actress,winner,Mercedes McCambridge,34,25-39
Sudden Fear,1953,Best Supporting Actor,nominee,Jack Palance,34,25-39
The High and the Mighty,1955,Best Supporting Actress,nominee,Jan Sterling,34,25-39
Sayonara,1958,Best Actor,nominee,Marlon Brando,34,25-39
Cat on a Hot Tin Roof,1959,Best Actor,nominee,Paul Newman,34,25-39
The Defiant Ones,1959,Best Supporting Actor,nominee,Theodore Bikel,34,25-39
Auntie Mame,1959,Best Supporting Actress,nominee,Peggy Cass,34,25-39
Some Came Running,1959,Best Supporting Actress,nominee,Martha Hyer,34,25-39
The Mark,1962,Best Actor,nominee,Stuart Whitman,34,25-39
Pocketful of Miracles,1962,Best Supporting Actor,nominee,Peter Falk,34,25-39
The Hustler,1962,Best Supporting Actor,nominee,George C. Scott,34,25-39
Alfie,1967,Best Actor,nominee,Michael Caine,34,25-39
A Man and a Woman,1967,Best Actress,nominee,Anouk Aimee,34,25-39
Faces,1969,Best Supporting Actor,nominee,Seymour Cassel,34,25-39
Five Easy Pieces,1971,Best Actor,nominee,Jack Nicholson,34,25-39
Women in Love,1971,Best Actress,winner,Glenda Jackson,34,25-39
Klute,1972,Best Actress,winner,Jane Fonda,34,25-39
The Emigrants,1973,Best Actress,nominee,Liv Ullmann,34,25-39
The Exorcist,1974,Best Supporting Actor,nominee,Jason Miller,34,25-39
The Godfather Part II,1975,Best Actor,nominee,Al Pacino,34,25-39
Chinatown,1975,Best Actress,nominee,Faye Dunaway,34,25-39
Tommy,1976,Best Actress,nominee,Ann-Margret,34,25-39
Seven Beauties,1977,Best Actor,nominee,Giancarlo Giannini,34,25-39
Looking for Mr. Goodbar,1978,Best Supporting Actress,nominee,Tuesday Weld,34,25-39
The Buddy Holly Story,1979,Best Actor,nominee,Gary Busey,34,25-39
An Unmarried Woman,1979,Best Actress,nominee,Jill Clayburgh,34,25-39
The Rose,1980,Best Actress,nominee,Bette Midler,34,25-39
Silkwood,1984,Best Actress,nominee,Meryl Streep,34,25-39
Educating Rita,1984,Best Actress,nominee,Julie Walters,34,25-39
Swing Shift,1985,Best Supporting Actress,nominee,Christine Lahti,34,25-39
Prizzi's Honor,1986,Best Supporting Actress,winner,Anjelica Huston,34,25-39
Camille Claudel,1990,Best Actress,nominee,Isabelle Adjani,34,25-39
"The Godfather, Part III",1991,Best Supporting Actor,nominee,Andy Garcia,34,25-39
Love Field,1993,Best Actress,nominee,Michelle Pfeiffer,34,25-39
The Remains of the Day,1994,Best Actress,nominee,Emma Thompson,34,25-39
In the Name of the Father,1994,Best Supporting Actress,nominee,Emma Thompson,34,25-39
Rob Roy,1996,Best Supporting Actor,nominee,Tim Roth,34,25-39
Jerry Maguire,1997,Best Actor,nominee,Tom Cruise,34,25-39
The English Patient,1997,Best Actor,nominee,Ralph Fiennes,34,25-39
As Good As It Gets,1998,Best Actress,winner,Helen Hunt,34,25-39
As Good As It Gets,1998,Best Supporting Actor,nominee,Greg Kinnear,34,25-39
Traffic,2001,Best Supporting Actor,winner,Benicio Del Toro,34,25-39
Moulin Rouge,2002,Best Actress,nominee,Nicole Kidman,34,25-39
Cold Mountain,2004,Best Supporting Actress,winner,Ren_e Zellweger,34,25-39
Revolutionary Road,2009,Best Supporting Actor,nominee,Michael Shannon,34,25-39
Vicky Cristina Barcelona,2009,Best Supporting Actress,winner,Pen_lope Cruz,34,25-39
Doubt,2009,Best Supporting Actress,nominee,Amy Adams,34,25-39
The Help,2012,Best Supporting Actress,nominee,Jessica Chastain,34,25-39
The Divine Lady,1930,Best Actress,nominee,Corinne Griffith,35,25-39
Dr. Jekyll and Mr. Hyde,1933,Best Actor,winner,Fredric March,35,25-39
Mutiny on the Bounty,1936,Best Actor,nominee,Clark Gable,35,25-39
Mr. Deeds Goes to Town,1937,Best Actor,nominee,Gary Cooper,35,25-39
"Goodbye, Mr. Chips",1940,Best Actress,nominee,Greer Garson,35,25-39
The Grapes of Wrath,1941,Best Actor,nominee,Henry Fonda,35,25-39
They Knew What They Wanted,1941,Best Supporting Actor,nominee,William Gargan,35,25-39
The Great Lie,1942,Best Supporting Actress,winner,Mary Astor,35,25-39
Woman of the Year,1943,Best Actress,nominee,Katharine Hepburn,35,25-39
My Sister Eileen,1943,Best Actress,nominee,Rosalind Russell,35,25-39
Body and Soul,1948,Best Actor,nominee,John Garfield,35,25-39
The Farmer's Daughter,1948,Best Actress,winner,Loretta Young,35,25-39
The Blue Veil,1952,Best Actress,nominee,Jane Wyman,35,25-39
With a Song in My Heart,1953,Best Actress,nominee,Susan Hayward,35,25-39
Stalag 17,1954,Best Actor,winner,William Holden,35,25-39
Shane,1954,Best Supporting Actor,nominee,Jack Palance,35,25-39
Adventures of Robinson Crusoe,1955,Best Actor,nominee,Dan O'Herlihy,35,25-39
Pete Kelly's Blues,1956,Best Supporting Actress,nominee,Peggy Lee,35,25-39
The King and I,1957,Best Actress,nominee,Deborah Kerr,35,25-39
Some Like It Hot,1960,Best Actor,nominee,Jack Lemmon,35,25-39
Who's Afraid of Virginia Woolf?,1967,Best Actress,winner,Elizabeth Taylor,35,25-39
The Fixer,1969,Best Actor,nominee,Alan Bates,35,25-39
The Heart Is a Lonely Hunter,1969,Best Actor,nominee,Alan Arkin,35,25-39
The Producers,1969,Best Supporting Actor,nominee,Gene Wilder,35,25-39
Star!,1969,Best Supporting Actor,nominee,Daniel Massey,35,25-39
The Prime of Miss Jean Brodie,1970,Best Actress,winner,Maggie Smith,35,25-39
Sunday Bloody Sunday,1972,Best Actress,nominee,Glenda Jackson,35,25-39
"Mary, Queen of Scots",1972,Best Actress,nominee,Vanessa Redgrave,35,25-39
Dog Day Afternoon,1976,Best Actor,nominee,Al Pacino,35,25-39
The Deer Hunter,1979,Best Actor,nominee,Robert De Niro,35,25-39
Starting Over,1980,Best Actress,nominee,Jill Clayburgh,35,25-39
Private Benjamin,1981,Best Actress,nominee,Goldie Hawn,35,25-39
Atlantic City,1982,Best Actress,nominee,Susan Sarandon,35,25-39
Starman,1985,Best Actor,nominee,Jeff Bridges,35,25-39
Country,1985,Best Actress,nominee,Jessica Lange,35,25-39
The River,1985,Best Actress,nominee,Sissy Spacek,35,25-39
Twice in a Lifetime,1986,Best Supporting Actress,nominee,Amy Madigan,35,25-39
Glory,1990,Best Supporting Actor,winner,Denzel Washington,35,25-39
Enemies: A Love Story,1990,Best Supporting Actress,nominee,Lena Olin,35,25-39
Ghost,1991,Best Supporting Actress,winner,Whoopi Goldberg,35,25-39
Damage,1993,Best Supporting Actress,nominee,Miranda Richardson,35,25-39
What's Love Got to Do with It,1994,Best Actress,nominee,Angela Bassett,35,25-39
Dead Man Walking,1996,Best Actor,nominee,Sean Penn,35,25-39
The People vs. Larry Flynt,1997,Best Actor,nominee,Woody Harrelson,35,25-39
In & Out,1998,Best Supporting Actress,nominee,Joan Cusack,35,25-39
The Insider,2000,Best Actor,nominee,Russell Crowe,35,25-39
Monster's Ball,2002,Best Actress,winner,Halle Berry,35,25-39
The Hours,2003,Best Actress,winner,Nicole Kidman,35,25-39
21 Grams,2004,Best Actress,nominee,Naomi Watts,35,25-39
The Aviator,2005,Best Supporting Actress,winner,Cate Blanchett,35,25-39
The Departed,2007,Best Supporting Actor,nominee,Mark Wahlberg,35,25-39
Nine,2010,Best Supporting Actress,nominee,Pen_lope Cruz,35,25-39
The Artist,2012,Best Supporting Actress,nominee,Berenice Bejo,35,25-39
Zero Dark Thirty,2013,Best Actress,nominee,Jessica Chastain,35,25-39
One Night of Love,1935,Best Actress,nominee,Grace Moore,36,25-39
Mutiny on the Bounty,1936,Best Actor,nominee,Charles Laughton,36,25-39
San Francisco,1937,Best Actor,nominee,Spencer Tracy,36,25-39
Marie Antoinette,1939,Best Actress,nominee,Norma Shearer,36,25-39
Mr. Skeffington,1945,Best Actress,nominee,Bette Davis,36,25-39
All the King's Men,1950,Best Supporting Actor,nominee,John Ireland,36,25-39
Champion,1950,Best Supporting Actor,nominee,Arthur Kennedy,36,25-39
The Bad and the Beautiful,1953,Best Actor,nominee,Kirk Douglas,36,25-39
The King and I,1957,Best Actor,winner,Yul Brynner,36,25-39
The Bad Seed,1957,Best Actress,nominee,Nancy Kelly,36,25-39
The Bold and the Brave,1957,Best Supporting Actor,nominee,Mickey Rooney,36,25-39
"Heaven Knows, Mr. Allison",1958,Best Actress,nominee,Deborah Kerr,36,25-39
Ben-Hur,1960,Best Actor,winner,Charlton Heston,36,25-39
The Apartment,1961,Best Actor,nominee,Jack Lemmon,36,25-39
This Sporting Life,1964,Best Actress,nominee,Rachel Roberts,36,25-39
The Graduate,1968,Best Actress,nominee,Anne Bancroft,36,25-39
The Lion in Winter,1969,Best Actor,nominee,Peter O'Toole,36,25-39
Fiddler on the Roof,1972,Best Actor,nominee,Topol,36,25-39
Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?,1972,Best Supporting Actress,nominee,Barbara Harris,36,25-39
The Last Detail,1974,Best Actor,nominee,Jack Nicholson,36,25-39
Nashville,1976,Best Supporting Actress,nominee,Lily Tomlin,36,25-39
Jacqueline Susann's Once Is Not Enough,1976,Best Supporting Actress,nominee,Brenda Vaccaro,36,25-39
Network,1977,Best Actress,winner,Faye Dunaway,36,25-39
Rocky,1977,Best Supporting Actor,nominee,Burt Young,36,25-39
The Goodbye Girl,1978,Best Actress,nominee,Marsha Mason,36,25-39
The Deer Hunter,1979,Best Supporting Actor,winner,Christopher Walken,36,25-39
Reds,1982,Best Actress,nominee,Diane Keaton,36,25-39
Victor/Victoria,1983,Best Supporting Actress,nominee,Lesley Ann Warren,36,25-39
The World According to Garp,1983,Best Supporting Actress,nominee,Glenn Close,36,25-39
Places in the Heart,1985,Best Supporting Actress,nominee,Lindsay Crouse,36,25-39
Kiss of the Spider Woman,1986,Best Actor,winner,William Hurt,36,25-39
Sweet Dreams,1986,Best Actress,nominee,Jessica Lange,36,25-39
Out of Africa,1986,Best Actress,nominee,Meryl Streep,36,25-39
Crimes of the Heart,1987,Best Supporting Actress,nominee,Tess Harper,36,25-39
"Good Morning, Vietnam",1988,Best Actor,nominee,Robin Williams,36,25-39
Dances with Wolves,1991,Best Actor,nominee,Kevin Costner,36,25-39
Good Fellas,1991,Best Supporting Actress,nominee,Lorraine Bracco,36,25-39
Thelma & Louise,1992,Best Actress,nominee,Geena Davis,36,25-39
In the Name of the Father,1994,Best Actor,nominee,Daniel Day-Lewis,36,25-39
The Piano,1994,Best Actress,winner,Holly Hunter,36,25-39
The Firm,1994,Best Supporting Actress,nominee,Holly Hunter,36,25-39
Bullets Over Broadway,1995,Best Supporting Actress,nominee,Jennifer Tilly,36,25-39
Sense and Sensibility,1996,Best Actress,nominee,Emma Thompson,36,25-39
The Usual Suspects,1996,Best Supporting Actor,winner,Kevin Spacey,36,25-39
Georgia,1996,Best Supporting Actress,nominee,Mare Winningham,36,25-39
The English Patient,1997,Best Actress,nominee,Kristin Scott Thomas,36,25-39
Gladiator,2001,Best Actor,winner,Russell Crowe,36,25-39
Frida,2003,Best Actress,nominee,Salma Hayek,36,25-39
Hotel Rwanda,2005,Best Supporting Actress,nominee,Sophie Okonedo,36,25-39
The Constant Gardener,2006,Best Supporting Actress,winner,Rachel Weisz,36,25-39
Up in the Air,2010,Best Supporting Actress,nominee,Vera Farmiga,36,25-39
The Fighter,2011,Best Supporting Actress,nominee,Amy Adams,36,25-39
12 Years a Slave,2014,Best Actor,nominee,Chiwetel Ejiofor,36,25-39
12 Years a Slave,2014,Best Supporting Actor,nominee,Michael Fassbender,36,25-39
Madame X,1930,Best Actress,nominee,Ruth Chatterton,37,25-39
Sarah and Son,1931,Best Actress,nominee,Ruth Chatterton,37,25-39
The General Died at Dawn,1937,Best Supporting Actor,nominee,Akim Tamiroff,37,25-39
Captains Courageous,1938,Best Actor,winner,Spencer Tracy,37,25-39
Juarez,1940,Best Supporting Actor,nominee,Brian Aherne,37,25-39
The Great Dictator,1941,Best Supporting Actor,nominee,Jack Oakie,37,25-39
Here Comes Mr. Jordan,1942,Best Actor,nominee,Robert Montgomery,37,25-39
Blossoms in the Dust,1942,Best Actress,nominee,Greer Garson,37,25-39
Wake Island,1943,Best Supporting Actor,nominee,William Bendix,37,25-39
Double Indemnity,1945,Best Actress,nominee,Barbara Stanwyck,37,25-39
Mildred Pierce,1946,Best Supporting Actress,nominee,Eve Arden,37,25-39
Joan of Arc,1949,Best Supporting Actor,nominee,Jos_ Ferrer,37,25-39
I Remember Mama,1949,Best Supporting Actress,nominee,Ellen Corby,37,25-39
Come to the Stable,1950,Best Actress,nominee,Loretta Young,37,25-39
Viva Zapata!,1953,Best Supporting Actor,winner,Anthony Quinn,37,25-39
Love Is a Many-Splendored Thing,1956,Best Actress,nominee,Jennifer Jones,37,25-39
Peyton Place,1958,Best Actress,nominee,Lana Turner,37,25-39
Separate Tables,1959,Best Actress,nominee,Deborah Kerr,37,25-39
Imitation of Life,1960,Best Supporting Actress,nominee,Juanita Moore,37,25-39
The Sundowners,1961,Best Supporting Actress,nominee,Glynis Johns,37,25-39
The Hustler,1962,Best Actor,nominee,Paul Newman,37,25-39
Summer and Smoke,1962,Best Actress,nominee,Geraldine Page,37,25-39
The Manchurian Candidate,1963,Best Supporting Actress,nominee,Angela Lansbury,37,25-39
Lilies of the Field,1964,Best Actor,winner,Sidney Poitier,37,25-39
The Flight of the Phoenix,1966,Best Supporting Actor,nominee,Ian Bannen,37,25-39
The Sand Pebbles,1967,Best Actor,nominee,Steve McQueen,37,25-39
Alfie,1967,Best Supporting Actress,nominee,Vivien Merchant,37,25-39
"Goodbye, Mr. Chips",1970,Best Actor,nominee,Peter O'Toole,37,25-39
Midnight Cowboy,1970,Best Supporting Actress,nominee,Sylvia Miles,37,25-39
Lovers and Other Strangers,1971,Best Supporting Actor,nominee,Richard Castellano,37,25-39
The Sting,1974,Best Actor,nominee,Robert Redford,37,25-39
A Touch of Class,1974,Best Actress,winner,Glenda Jackson,37,25-39
Chinatown,1975,Best Actor,nominee,Jack Nicholson,37,25-39
Lenny,1975,Best Actor,nominee,Dustin Hoffman,37,25-39
All the President's Men,1977,Best Supporting Actress,nominee,Jane Alexander,37,25-39
Raging Bull,1981,Best Actor,winner,Robert De Niro,37,25-39
The World According to Garp,1983,Best Supporting Actor,nominee,John Lithgow,37,25-39
Silkwood,1984,Best Supporting Actress,nominee,Cher,37,25-39
The Big Chill,1984,Best Supporting Actress,nominee,Glenn Close,37,25-39
Children of a Lesser God,1987,Best Actor,nominee,William Hurt,37,25-39
Aliens,1987,Best Actress,nominee,Sigourney Weaver,37,25-39
Crimes of the Heart,1987,Best Actress,nominee,Sissy Spacek,37,25-39
Platoon,1987,Best Supporting Actor,nominee,Tom Berenger,37,25-39
Driving Miss Daisy,1990,Best Supporting Actor,nominee,Dan Aykroyd,37,25-39
Husbands and Wives,1993,Best Supporting Actress,nominee,Judy Davis,37,25-39
Philadelphia,1994,Best Actor,winner,Tom Hanks,37,25-39
Tom & Viv,1995,Best Actress,nominee,Miranda Richardson,37,25-39
Boogie Nights,1998,Best Supporting Actress,nominee,Julianne Moore,37,25-39
Magnolia,2000,Best Supporting Actor,nominee,Tom Cruise,37,25-39
You Can Count on Me,2001,Best Actress,nominee,Laura Linney,37,25-39
Chocolat,2001,Best Actress,nominee,Juliette Binoche,37,25-39
A Beautiful Mind,2002,Best Actor,nominee,Russell Crowe,37,25-39
In the Bedroom,2002,Best Supporting Actress,nominee,Marisa Tomei,37,25-39
Chicago,2003,Best Supporting Actor,nominee,John C. Reilly,37,25-39
21 Grams,2004,Best Supporting Actor,nominee,Benicio Del Toro,37,25-39
Ray,2005,Best Actor,winner,Jamie Foxx,37,25-39
Collateral,2005,Best Supporting Actor,nominee,Jamie Foxx,37,25-39
Hustle & Flow,2006,Best Actor,nominee,Terrence Howard,37,25-39
Notes on a Scandal,2007,Best Supporting Actress,nominee,Cate Blanchett,37,25-39
The Fighter,2011,Best Supporting Actor,winner,Christian Bale,37,25-39
Blue Jasmine,2014,Best Supporting Actress,nominee,Sally Hawkins,37,25-39
Coquette,1930,Best Actress,winner,Mary Pickford,38,25-39
Cimarron,1932,Best Actor,nominee,Richard Dix,38,25-39
I am a Fugitive from a Chain Gang,1934,Best Actor,nominee,Paul Muni,38,25-39
Escape Me Never,1936,Best Actress,nominee,Elisabeth Bergner,38,25-39
Theodora Goes Wild,1937,Best Actress,nominee,Irene Dunne,38,25-39
Anthony Adverse,1937,Best Supporting Actress,winner,Gale Sondergaard,38,25-39
Conquest,1938,Best Actor,nominee,Charles Boyer,38,25-39
Boys Town,1939,Best Actor,winner,Spencer Tracy,38,25-39
Penny Serenade,1942,Best Actor,nominee,Cary Grant,38,25-39
Mrs. Miniver,1943,Best Actress,winner,Greer Garson,38,25-39
Wilson,1945,Best Actor,nominee,Alexander Knox,38,25-39
It's a Wonderful Life,1947,Best Actor,nominee,James Stewart,38,25-39
Brief Encounter,1947,Best Actress,nominee,Celia Johnson,38,25-39
Crossfire,1948,Best Supporting Actor,nominee,Robert Ryan,38,25-39
All the King's Men,1950,Best Actor,winner,Broderick Crawford,38,25-39
Bright Victory,1952,Best Actor,nominee,Arthur Kennedy,38,25-39
A Streetcar Named Desire,1952,Best Actress,winner,Vivien Leigh,38,25-39
Come Fill the Cup,1952,Best Supporting Actor,nominee,Gig Young,38,25-39
Death of a Salesman,1952,Best Supporting Actor,nominee,Kevin McCarthy,38,25-39
The Lavender Hill Mob,1953,Best Actor,nominee,Alec Guinness,38,25-39
From Here to Eternity,1954,Best Supporting Actor,winner,Frank Sinatra,38,25-39
Magnificent Obsession,1955,Best Actress,nominee,Jane Wyman,38,25-39
I'll Cry Tomorrow,1956,Best Actress,nominee,Susan Hayward,38,25-39
Written on the Wind,1957,Best Supporting Actor,nominee,Robert Stack,38,25-39
The Bad Seed,1957,Best Supporting Actress,nominee,Eileen Heckart,38,25-39
Pillow Talk,1960,Best Actress,nominee,Doris Day,38,25-39
Divorce - Italian Style,1963,Best Actor,nominee,Marcello Mastroianni,38,25-39
Days of Wine and Roses,1963,Best Actor,nominee,Jack Lemmon,38,25-39
Sweet Bird of Youth,1963,Best Actress,nominee,Geraldine Page,38,25-39
Hud,1964,Best Actress,winner,Patricia Neal,38,25-39
Wait Until Dark,1968,Best Actress,nominee,Audrey Hepburn,38,25-39
The Dirty Dozen,1968,Best Supporting Actor,nominee,John Cassavetes,38,25-39
Bonnie and Clyde,1968,Best Supporting Actor,nominee,Gene Hackman,38,25-39
Travels with My Aunt,1973,Best Actress,nominee,Maggie Smith,38,25-39
