film,year,category,award,name,age0,age
Peyton Place,1958,Best Supporting Actress,nominee,Hope Lange,24,24 >
Some Came Running,1959,Best Actress,nominee,Shirley MacLaine,24,24 >
The Dark at the Top of the Stairs,1961,Best Supporting Actress,nominee,Shirley Knight,24,24 >
Billy Budd,1963,Best Supporting Actor,nominee,Terence Stamp,24,24 >
Georgy Girl,1967,Best Actress,nominee,Lynn Redgrave,24,24 >
The Heart Is a Lonely Hunter,1969,Best Supporting Actress,nominee,Sondra Locke,24,24 >
The Sterile Cuckoo,1970,Best Actress,nominee,Liza Minnelli,24,24 >
Cactus Flower,1970,Best Supporting Actress,winner,Goldie Hawn,24,24 >
Last Summer,1970,Best Supporting Actress,nominee,Catherine Burns,24,24 >
Saturday Night Fever,1978,Best Actor,nominee,John Travolta,24,24 >
Equus,1978,Best Supporting Actor,nominee,Peter Firth,24,24 >
Pulp Fiction,1995,Best Supporting Actress,nominee,Uma Thurman,24,24 >
"Girl, Interrupted",2000,Best Supporting Actress,winner,Angelina Jolie,24,24 >
An Education,2010,Best Actress,nominee,Carey Mulligan,24,24 >
Up in the Air,2010,Best Supporting Actress,nominee,Anna Kendrick,24,24 >
Anna Christie,1931,Best Actress,nominee,Greta Garbo,25,25-39
Romance,1931,Best Actress,nominee,Greta Garbo,25,25-39
The Dark Angel,1936,Best Actress,nominee,Merle Oberon,25,25-39
Four Daughters,1939,Best Supporting Actor,nominee,John Garfield,25,25-39
Hold Back the Dawn,1942,Best Actress,nominee,Olivia de Havilland,25,25-39
The Song of Bernadette,1944,Best Actress,winner,Jennifer Jones,25,25-39
Leave Her to Heaven,1946,Best Actress,nominee,Gene Tierney,25,25-39
The Moon Is Blue,1954,Best Actress,nominee,Maggie McNamara,25,25-39
The Country Girl,1955,Best Actress,winner,Grace Kelly,25,25-39
Sabrina,1955,Best Actress,nominee,Audrey Hepburn,25,25-39
East of Eden,1956,Best Actor,nominee,James Dean,25,25-39
Baby Doll,1957,Best Actress,nominee,Carroll Baker,25,25-39
Whatever Happened to Baby Jane?,1963,Best Supporting Actor,nominee,Victor Buono,25,25-39
Love with the Proper Stranger,1964,Best Actress,nominee,Natalie Wood,25,25-39
Darling,1966,Best Actress,winner,Julie Christie,25,25-39
Diary of a Mad Housewife,1971,Best Actress,nominee,Carrie Snodgress,25,25-39
Thunderbolt and Lightfoot,1975,Best Supporting Actor,nominee,Jeff Bridges,25,25-39
The Great Santini,1981,Best Supporting Actor,nominee,Michael O'Keefe,25,25-39
Inside Moves,1981,Best Supporting Actress,nominee,Diana Scarwid,25,25-39
Rambling Rose,1992,Best Actress,nominee,Laura Dern,25,25-39
The Crying Game,1993,Best Supporting Actor,nominee,Jaye Davidson,25,25-39
Boys Don't Cry,2000,Best Actress,winner,Hilary Swank,25,25-39
Boys Don't Cry,2000,Best Supporting Actress,nominee,Chlo Sevigny,25,25-39
Brokeback Mountain,2006,Best Supporting Actor,nominee,Jake Gyllenhaal,25,25-39
Brokeback Mountain,2006,Best Supporting Actress,nominee,Michelle Williams,25,25-39
Dreamgirls,2007,Best Supporting Actress,winner,Jennifer Hudson,25,25-39
The Devil's Holiday,1931,Best Actress,nominee,Nancy Carroll,26,25-39
Morning Glory,1934,Best Actress,winner,Katharine Hepburn,26,25-39
Of Human Bondage,1935,Best Actress,nominee,Bette Davis (write-in candidate),26,25-39
Pygmalion,1939,Best Actress,nominee,Wendy Hiller,26,25-39
Gone with the Wind,1940,Best Actress,winner,Vivien Leigh,26,25-39
Wuthering Heights,1940,Best Supporting Actress,nominee,Geraldine Fitzgerald,26,25-39
Citizen Kane,1942,Best Actor,nominee,Orson Welles,26,25-39
The Constant Nymph,1944,Best Actress,nominee,Joan Fontaine,26,25-39
Since You Went Away,1945,Best Supporting Actress,nominee,Jennifer Jones,26,25-39
I Remember Mama,1949,Best Supporting Actress,nominee,Barbara Bel Geddes,26,25-39
Detective Story,1952,Best Supporting Actress,nominee,Lee Grant,26,25-39
Giant,1957,Best Actor,nominee,James Dean,26,25-39
Raintree County,1958,Best Actress,nominee,Elizabeth Taylor,26,25-39
Sweet Bird of Youth,1963,Best Supporting Actress,nominee,Shirley Knight,26,25-39
Funny Girl,1969,Best Actress,winner,Barbra Streisand,26,25-39
American Graffiti,1974,Best Supporting Actress,nominee,Candy Clark,26,25-39
One Flew Over the Cuckoo's Nest,1976,Best Supporting Actor,nominee,Brad Dourif,26,25-39
Agnes of God,1986,Best Supporting Actress,nominee,Meg Tilly,26,25-39
The Accused,1989,Best Actress,winner,Jodie Foster,26,25-39
Working Girl,1989,Best Supporting Actress,nominee,Joan Cusack,26,25-39
Shakespeare in Love,1999,Best Actress,winner,Gwyneth Paltrow,26,25-39
Gladiator,2001,Best Supporting Actor,nominee,Joaquin Phoenix,26,25-39
Iris,2002,Best Supporting Actress,nominee,Kate Winslet,26,25-39
In America,2004,Best Actress,nominee,Samantha Morton,26,25-39
Brokeback Mountain,2006,Best Actor,nominee,Heath Ledger,26,25-39
Half Nelson,2007,Best Actor,nominee,Ryan Gosling,26,25-39
Babel,2007,Best Supporting Actress,nominee,Rinko Kikuchi,26,25-39
Rachel Getting Married,2009,Best Actress,nominee,Anne Hathaway,26,25-39
Precious,2010,Best Actress,nominee,Gabourey Sidibe,26,25-39
The Girl with the Dragon Tattoo,2012,Best Actress,nominee,Rooney Mara,26,25-39
Dangerous,1936,Best Actress,winner,Bette Davis,27,25-39
The Great Ziegfeld,1937,Best Actress,winner,Luise Rainer,27,25-39
Love Letters,1946,Best Actress,nominee,Jennifer Jones,27,25-39
The Corn Is Green,1946,Best Supporting Actor,nominee,John Dall,27,25-39
All About Eve,1951,Best Actress,nominee,Anne Baxter,27,25-39
A Streetcar Named Desire,1952,Best Actor,nominee,Marlon Brando,27,25-39
The Member of the Wedding,1953,Best Actress,nominee,Julie Harris,27,25-39
My Cousin Rachel,1953,Best Supporting Actor,nominee,Richard Burton,27,25-39
Moulin Rouge,1953,Best Supporting Actress,nominee,Colette Marchand,27,25-39
Bus Stop,1957,Best Supporting Actor,nominee,Don Murray,27,25-39
The Bachelor Party,1958,Best Supporting Actress,nominee,Carolyn Jones,27,25-39
Cat on a Hot Tin Roof,1959,Best Actress,nominee,Elizabeth Taylor,27,25-39
The Young Philadelphians,1960,Best Supporting Actor,nominee,Robert Vaughn,27,25-39
The Apartment,1961,Best Actress,nominee,Shirley MacLaine,27,25-39
Elmer Gantry,1961,Best Supporting Actress,winner,Shirley Jones,27,25-39
Two Women,1962,Best Actress,winner,Sophia Loren,27,25-39
West Side Story,1962,Best Supporting Actor,winner,George Chakiris,27,25-39
Days of Wine and Roses,1963,Best Actress,nominee,Lee Remick,27,25-39
Tom Jones,1964,Best Actor,nominee,Albert Finney,27,25-39
"Captain Newman, M.D.",1964,Best Supporting Actor,nominee,Bobby Darin,27,25-39
The Collector,1966,Best Actress,nominee,Samantha Eggar,27,25-39
Bonnie and Clyde,1968,Best Actress,nominee,Faye Dunaway,27,25-39
Anne of the Thousand Days,1970,Best Actress,nominee,Genevieve Bujold,27,25-39
Cabaret,1973,Best Actress,winner,Liza Minnelli,27,25-39
Carrie,1977,Best Actress,nominee,Sissy Spacek,27,25-39
An Officer and a Gentleman,1983,Best Actress,nominee,Debra Winger,27,25-39
Born on the Fourth of July,1990,Best Actor,nominee,Tom Cruise,27,25-39
Primal Fear,1997,Best Supporting Actor,nominee,Edward Norton,27,25-39
Good Will Hunting,1998,Best Actor,nominee,Matt Damon,27,25-39
The Talented Mr. Ripley,2000,Best Supporting Actor,nominee,Jude Law,27,25-39
The Sixth Sense,2000,Best Supporting Actress,nominee,Toni Collette,27,25-39
The Social Network,2011,Best Actor,nominee,Jesse Eisenberg,27,25-39
The Divorcee,1931,Best Actress,winner,Norma Shearer,28,25-39
Their Own Desire,1931,Best Actress,nominee,Norma Shearer,28,25-39
Cavalcade,1934,Best Actress,nominee,Diana Wynyard,28,25-39
Alice Adams,1936,Best Actress,nominee,Katharine Hepburn,28,25-39
My Man Godfrey,1937,Best Actress,nominee,Carole Lombard,28,25-39
The Good Earth,1938,Best Actress,winner,Luise Rainer,28,25-39
Dead End,1938,Best Supporting Actress,nominee,Claire Trevor,28,25-39
Our Town,1941,Best Actress,nominee,Martha Scott,28,25-39
For Whom the Bell Tolls,1944,Best Actress,nominee,Ingrid Bergman,28,25-39
G.I. Joe,1946,Best Supporting Actor,nominee,Robert Mitchum,28,25-39
Duel in the Sun,1947,Best Actress,nominee,Jennifer Jones,28,25-39
The Search,1949,Best Actor,nominee,Montgomery Clift,28,25-39
"Edward, My Son",1950,Best Actress,nominee,Deborah Kerr,28,25-39
Battleground,1950,Best Supporting Actor,nominee,James Whitmore,28,25-39
Caged,1951,Best Actress,nominee,Eleanor Parker,28,25-39
Viva Zapata!,1953,Best Actor,nominee,Marlon Brando,28,25-39
The Robe,1954,Best Actor,nominee,Richard Burton,28,25-39
The Three Faces of Eve,1958,Best Actress,winner,Joanne Woodward,28,25-39
Sayonara,1958,Best Supporting Actress,winner,Miyoshi Umeki,28,25-39
"Suddenly, Last Summer",1960,Best Actress,nominee,Elizabeth Taylor,28,25-39
Sons and Lovers,1961,Best Supporting Actress,nominee,Mary Ure,28,25-39
Bonnie and Clyde,1968,Best Supporting Actor,nominee,Michael J. Pollard,28,25-39
The Graduate,1968,Best Supporting Actress,nominee,Katharine Ross,28,25-39
Fat City,1973,Best Supporting Actress,nominee,Susan Tyrrell,28,25-39
The Godfather Part II,1975,Best Supporting Actress,nominee,Talia Shire,28,25-39
Melvin and Howard,1981,Best Supporting Actress,winner,Mary Steenburgen,28,25-39
Terms of Endearment,1984,Best Actress,nominee,Debra Winger,28,25-39
The Color of Money,1987,Best Supporting Actress,nominee,Mary Elizabeth Mastrantonio,28,25-39
Chaplin,1993,Best Actor,nominee,"Robert Downey, Jr.",28,25-39
My Cousin Vinny,1993,Best Supporting Actress,winner,Marisa Tomei,28,25-39
Mighty Aphrodite,1996,Best Supporting Actress,winner,Mira Sorvino,28,25-39
Good Will Hunting,1998,Best Supporting Actress,nominee,Minnie Driver,28,25-39
Monster,2004,Best Actress,winner,Charlize Theron,28,25-39
Moneyball,2012,Best Supporting Actor,nominee,Jonah Hill,28,25-39
Captain Phillips,2014,Best Supporting Actor,nominee,Barkhad Abdi,28,25-39
Alibi,1930,Best Actor,nominee,Chester Morris,29,25-39
Morocco,1932,Best Actress,nominee,Marlene Dietrich,29,25-39
Holiday,1932,Best Actress,nominee,Ann Harding,29,25-39
A Free Soul,1932,Best Actress,nominee,Norma Shearer,29,25-39
Three Comrades,1939,Best Actress,nominee,Margaret Sullavan,29,25-39
The Great Waltz,1939,Best Supporting Actress,nominee,Miliza Korjus,29,25-39
Kitty Foyle,1941,Best Actress,winner,Ginger Rogers,29,25-39
The Philadelphia Story,1941,Best Supporting Actress,nominee,Ruth Hussey,29,25-39
Gaslight,1945,Best Actress,winner,Ingrid Bergman,29,25-39
The Keys of the Kingdom,1946,Best Actor,nominee,Gregory Peck,29,25-39
Born Yesterday,1951,Best Actress,winner,Judy Holliday,29,25-39
Detective Story,1952,Best Actress,nominee,Eleanor Parker,29,25-39
A Streetcar Named Desire,1952,Best Supporting Actress,winner,Kim Hunter,29,25-39
The Bad and the Beautiful,1953,Best Supporting Actress,winner,Gloria Grahame,29,25-39
Singin' in the Rain,1953,Best Supporting Actress,nominee,Jean Hagen,29,25-39
Julius Caesar,1954,Best Actor,nominee,Marlon Brando,29,25-39
Hondo,1954,Best Supporting Actress,nominee,Geraldine Page,29,25-39
On the Waterfront,1955,Best Supporting Actor,nominee,Rod Steiger,29,25-39
A Hatful of Rain,1958,Best Actor,nominee,Anthony Franciosa,29,25-39
Butterfield 8,1961,Best Actress,winner,Elizabeth Taylor,29,25-39
Irma la Douce,1964,Best Actress,nominee,Shirley MacLaine,29,25-39
Mary Poppins,1965,Best Actress,winner,Julie Andrews,29,25-39
Doctor Zhivago,1966,Best Supporting Actor,nominee,Tom Courtenay,29,25-39
Who's Afraid of Virginia Woolf?,1967,Best Supporting Actress,winner,Sandy Dennis,29,25-39
Ryan's Daughter,1971,Best Actress,nominee,Sarah Miles,29,25-39
Lady Sings the Blues,1973,Best Actress,nominee,Diana Ross,29,25-39
The Deer Hunter,1979,Best Supporting Actress,nominee,Meryl Streep,29,25-39
A Passage to India,1985,Best Actress,nominee,Judy Davis,29,25-39
Runaway Train,1986,Best Supporting Actor,nominee,Eric Roberts,29,25-39
Henry V,1990,Best Actor,nominee,Kenneth Branagh,29,25-39
The Silence of the Lambs,1992,Best Actress,winner,Jodie Foster,29,25-39
Fearless,1994,Best Supporting Actress,nominee,Rosie Perez,29,25-39
Jerry Maguire,1997,Best Supporting Actor,winner,"Cuba Gooding, Jr.",29,25-39
Secrets & Lies,1997,Best Supporting Actress,nominee,Marianne Jean-Baptiste,29,25-39
American History X,1999,Best Actor,nominee,Edward Norton,29,25-39
Elizabeth,1999,Best Actress,nominee,Cate Blanchett,29,25-39
The Pianist,2003,Best Actor,winner,Adrien Brody,29,25-39
Eternal Sunshine of the Spotless Mind,2005,Best Actress,nominee,Kate Winslet,29,25-39
Walk the Line,2006,Best Actress,winner,Reese Witherspoon,29,25-39
The Dark Knight,2009,Best Supporting Actor,winner,Heath Ledger,29,25-39
Black Swan,2011,Best Actress,winner,Natalie Portman,29,25-39
Sadie Thompson,1929,Best Actress,nominee,Gloria Swanson,30,25-39
Stella Dallas,1938,Best Actress,nominee,Barbara Stanwyck,30,25-39
Jezebel,1939,Best Actress,winner,Bette Davis,30,25-39
Marie Antoinette,1939,Best Supporting Actor,nominee,Robert Morley,30,25-39
"All This, and Heaven Too",1941,Best Supporting Actress,nominee,Barbara O'Neil,30,25-39
The Bells of St. Mary's,1946,Best Actress,nominee,Ingrid Bergman,30,25-39
The Yearling,1947,Best Actor,nominee,Gregory Peck,30,25-39
To Each His Own,1947,Best Actress,winner,Olivia de Havilland,30,25-39
The Yearling,1947,Best Actress,nominee,Jane Wyman,30,25-39
Smash-Up: The Story of a Woman,1948,Best Actress,nominee,Susan Hayward,30,25-39
Gentleman's Agreement,1948,Best Supporting Actress,winner,Celeste Holm,30,25-39
The Hasty Heart,1950,Best Actor,nominee,Richard Todd,30,25-39
Quo Vadis,1952,Best Supporting Actor,nominee,Peter Ustinov,30,25-39
On the Waterfront,1955,Best Supporting Actress,winner,Eva Marie Saint,30,25-39
Executive Suite,1955,Best Supporting Actress,nominee,Nina Foch,30,25-39
The Nun's Story,1960,Best Actress,nominee,Audrey Hepburn,30,25-39
The Hustler,1962,Best Actress,nominee,Piper Laurie,30,25-39
West Side Story,1962,Best Supporting Actress,winner,Rita Moreno,30,25-39
Lawrence of Arabia,1963,Best Actor,nominee,Peter O'Toole,30,25-39
Tom Jones,1964,Best Supporting Actress,nominee,Diane Cilento,30,25-39
Marriage Italian Style,1965,Best Actress,nominee,Sophia Loren,30,25-39
The Sound of Music,1966,Best Actress,nominee,Julie Andrews,30,25-39
Morgan!,1967,Best Actress,nominee,Vanessa Redgrave,30,25-39
The Graduate,1968,Best Actor,nominee,Dustin Hoffman,30,25-39
Love Story,1971,Best Actor,nominee,Ryan O'Neal,30,25-39
Carnal Knowledge,1972,Best Supporting Actress,nominee,Ann-Margret,30,25-39
Nashville,1976,Best Supporting Actress,nominee,Ronee Blakely,30,25-39
Rocky,1977,Best Actor,nominee,Sylvester Stallone,30,25-39
Rocky,1977,Best Actress,nominee,Talia Shire,30,25-39
The Goodbye Girl,1978,Best Actor,winner,Richard Dreyfuss,30,25-39
The Turning Point,1978,Best Supporting Actor,nominee,Mikhail Baryshnikov,30,25-39
Kramer vs. Kramer,1980,Best Supporting Actress,winner,Meryl Streep,30,25-39
Yentl,1984,Best Supporting Actress,nominee,Amy Irving,30,25-39
The Color Purple,1986,Best Actress,nominee,Whoopi Goldberg,30,25-39
Broadcast News,1988,Best Actress,nominee,Holly Hunter,30,25-39
Dangerous Liaisons,1989,Best Supporting Actress,nominee,Michelle Pfeiffer,30,25-39
Breaking the Waves,1997,Best Actress,nominee,Emily Watson,30,25-39
Hilary and Jackie,1999,Best Supporting Actress,nominee,Rachel Griffiths,30,25-39
The Aviator,2005,Best Actor,nominee,Leonardo DiCaprio,30,25-39
Million Dollar Baby,2005,Best Actress,winner,Hilary Swank,30,25-39
North Country,2006,Best Actress,nominee,Charlize Theron,30,25-39
Blue Valentine,2011,Best Actress,nominee,Michelle Williams,30,25-39
Les Miserables,2013,Best Supporting Actress,winner,Anne Hathaway,30,25-39
The Wolf of Wall Street,2014,Best Supporting Actor,nominee,Jonah Hill,30,25-39
12 Years a Slave,2014,Best Supporting Actress,winner,Lupita Nyong'o,30,25-39
The Broadway Melody,1930,Best Actress,nominee,Bessie Love,31,25-39
The Trespasser,1931,Best Actress,nominee,Gloria Swanson,31,25-39
It Happened One Night,1935,Best Actress,winner,Claudette Colbert,31,25-39
Mutiny on the Bounty,1936,Best Actor,nominee,Franchot Tone,31,25-39
My Man Godfrey,1937,Best Supporting Actor,nominee,Mischa Auer,31,25-39
A Star Is Born,1938,Best Actress,nominee,Janet Gaynor,31,25-39
Mr. Smith Goes to Washington,1940,Best Actor,nominee,James Stewart,31,25-39
Dark Victory,1940,Best Actress,nominee,Bette Davis,31,25-39
Gentleman's Agreement,1948,Best Actor,nominee,Gregory Peck,31,25-39
Gentleman's Agreement,1948,Best Actress,nominee,Dorothy McGuire,31,25-39
A Place in the Sun,1952,Best Actor,nominee,Montgomery Clift,31,25-39
A Place in the Sun,1952,Best Actress,nominee,Shelley Winters,31,25-39
Mogambo,1954,Best Actress,nominee,Ava Gardner,31,25-39
On the Waterfront,1955,Best Actor,winner,Marlon Brando,31,25-39
Broken Lance,1955,Best Supporting Actress,nominee,Katy Jurado,31,25-39
Mister Roberts,1956,Best Supporting Actor,winner,Jack Lemmon,31,25-39
Giant,1957,Best Actor,nominee,Rock Hudson,31,25-39
