Out of hours,Ecomms,MBL,Region,Area,Trader approved,Remote
No,Waitlisted,n/a,United Kingdom,FI Rates,Yes,Citrix
n/a,Registered,Incomplete,Americas,FI Credit,Non Trading,Desktop
No,Registered,n/a,United Kingdom,Commodities,Yes,Citrix
No,no action,Incomplete,Americas,FI Rates,Yes,None
n/a,Registered,n/a,Asia Pacific,Prime Services,Non Trading,Desktop
n/a,no action,Incomplete,United Kingdom,Prime Services,Non Trading,None
Yes,no action,Incomplete,Americas,Products,Yes,Citrix
n/a,n/a,Incomplete,Europe,Banana Natural Resource Investments,Non Trading,Desktop
No,no action,n/a,Americas,FI Rates,Yes,Citrix
n/a,no action,n/a,Asia Pacific,Prime Services,Non Trading,Desktop
Yes,no action,Incomplete,Americas,Prime Services,Yes,Desktop
n/a,no action,n/a,United Kingdom,FICC Structuring,Non Trading,Desktop
No,no action,n/a,United Kingdom,Syndicate,Yes,Citrix
No,no action,n/a,Asia Pacific,Foreign Exchange,Yes,None
n/a,n/a,n/a,Asia Pacific,Prime Services,Non Trading,None
Yes,no action,Incomplete,United Kingdom,FI Rates,Yes,Citrix
Yes,no action,Incomplete,Asia Pacific,Foreign Exchange,Yes,Citrix
Yes,n/a,n/a,Americas,Commodities,Yes,Desktop
Yes,no action,Incomplete,Americas,Prime Services,Yes,Citrix
n/a,n/a,n/a,Asia Pacific,Prime Services,Non Trading,None
n/a,no action,Incomplete,Americas,Prime Services,Non Trading,Desktop
Yes,no action,Incomplete,Asia Pacific,FI Rates,Yes,Citrix
Yes,Registered,n/a,Asia Pacific,Prime Services,Yes,Citrix
n/a,no action,n/a,United Kingdom,FICC Structuring,Non Trading,Citrix
No,Registered,n/a,United Kingdom,Prime Services,Yes,None
Yes,no action,n/a,Americas,FI Rates,Yes,Citrix
Yes,n/a,n/a,Asia Pacific,Emerging Markets,Yes,Citrix
No,Registered,n/a,United Kingdom,Syndicate,Yes,Citrix
