film,year,award,winner,name,age
The High and the Mighty,1955,Best Supporting Actress,,Claire Trevor,45
The High and the Mighty,1955,Best Supporting Actress,,Jan Sterling,34
Broken Lance,1955,Best Supporting Actress,,Katy Jurado,31
Executive Suite,1955,Best Supporting Actress,,Nina Foch,30
Marty,1956,Best Actor,winner,Ernest Borgnine,39
Love Me or Leave Me,1956,Best Actor,,James Cagney,56
Bad Day at Black Rock,1956,Best Actor,,Spencer Tracy,55
The Man with the Golden Arm,1956,Best Actor,,Frank Sinatra,40
East of Eden,1956,Best Actor,,James Dean,25
The Rose Tattoo,1956,Best Actress,winner,Anna Magnani,48
Summertime,1956,Best Actress,,Katharine Hepburn,48
I'll Cry Tomorrow,1956,Best Actress,,Susan Hayward,38
Love Is a Many-Splendored Thing,1956,Best Actress,,Jennifer Jones,37
Interrupted Melody,1956,Best Actress,,Eleanor Parker,33
Mister Roberts,1956,Best Supporting Actor,winner,Jack Lemmon,31
Picnic,1956,Best Supporting Actor,,Arthur O'Connell,48
Trial,1956,Best Supporting Actor,,Arthur Kennedy,42
Marty,1956,Best Supporting Actor,,Joe Mantell,40
Rebel Without a Cause,1956,Best Supporting Actor,,Sal Mineo,17
East of Eden,1956,Best Supporting Actress,winner,Jo Van Fleet,41
Pete Kelly's Blues,1956,Best Supporting Actress,,Peggy Lee,35
Marty,1956,Best Supporting Actress,,Betsy Blair,32
The Rose Tattoo,1956,Best Supporting Actress,,Marisa Pavan,23
Rebel Without a Cause,1956,Best Supporting Actress,,Natalie Wood,17
The King and I,1957,Best Actor,winner,Yul Brynner,36
Richard III,1957,Best Actor,,Laurence Olivier,49
Lust for Life,1957,Best Actor,,Kirk Douglas,40
Giant,1957,Best Actor,,Rock Hudson,31
Giant,1957,Best Actor,,James Dean,26
Anastasia,1957,Best Actress,winner,Ingrid Bergman,41
The Rainmaker,1957,Best Actress,,Katharine Hepburn,49
The Bad Seed,1957,Best Actress,,Nancy Kelly,36
The King and I,1957,Best Actress,,Deborah Kerr,35
Baby Doll,1957,Best Actress,,Carroll Baker,25
Lust for Life,1957,Best Supporting Actor,winner,Anthony Quinn,41
Written on the Wind,1957,Best Supporting Actor,,Robert Stack,38
The Bold and the Brave,1957,Best Supporting Actor,,Mickey Rooney,36
Bus Stop,1957,Best Supporting Actor,,Don Murray,27
Friendly Persuasion,1957,Best Supporting Actor,,Anthony Perkins,24
Written on the Wind,1957,Best Supporting Actress,winner,Dorothy Malone,32
Baby Doll,1957,Best Supporting Actress,,Mildred Dunnock,56
Giant,1957,Best Supporting Actress,,Mercedes McCambridge,41
The Bad Seed,1957,Best Supporting Actress,,Eileen Heckart,38
The Bad Seed,1957,Best Supporting Actress,,Patty McCormack,11
The Bridge on the River Kwai,1958,Best Actor,winner,Alec Guinness,44
Witness for the Prosecution,1958,Best Actor,,Charles Laughton,58
Wild Is the Wind,1958,Best Actor,,Anthony Quinn,42
Sayonara,1958,Best Actor,,Marlon Brando,34
A Hatful of Rain,1958,Best Actor,,Anthony Franciosa,29
The Three Faces of Eve,1958,Best Actress,winner,Joanne Woodward,28
Wild Is the Wind,1958,Best Actress,,Anna Magnani,50
Peyton Place,1958,Best Actress,,Lana Turner,37
"Heaven Knows, Mr. Allison",1958,Best Actress,,Deborah Kerr,36
Raintree County,1958,Best Actress,,Elizabeth Taylor,26
Sayonara,1958,Best Supporting Actor,winner,Red Buttons,39
The Bridge on the River Kwai,1958,Best Supporting Actor,,Sessue Hayakawa,68
A Farewell to Arms,1958,Best Supporting Actor,,Vittorio De Sica,56
Peyton Place,1958,Best Supporting Actor,,Arthur Kennedy,44
Peyton Place,1958,Best Supporting Actor,,Russ Tamblyn,23
Sayonara,1958,Best Supporting Actress,winner,Miyoshi Umeki,28
Witness for the Prosecution,1958,Best Supporting Actress,,Elsa Lanchester,55
The Bachelor Party,1958,Best Supporting Actress,,Carolyn Jones,27
Peyton Place,1958,Best Supporting Actress,,Hope Lange,24
Peyton Place,1958,Best Supporting Actress,,Diane Varsi,20
Separate Tables,1959,Best Actor,winner,David Niven,49
The Old Man and the Sea,1959,Best Actor,,Spencer Tracy,59
Cat on a Hot Tin Roof,1959,Best Actor,,Paul Newman,34
The Defiant Ones,1959,Best Actor,,Tony Curtis,33
The Defiant Ones,1959,Best Actor,,Sidney Poitier,32
I Want to Live!,1959,Best Actress,winner,Susan Hayward,41
Auntie Mame,1959,Best Actress,,Rosalind Russell,51
Separate Tables,1959,Best Actress,,Deborah Kerr,37
Cat on a Hot Tin Roof,1959,Best Actress,,Elizabeth Taylor,27
Some Came Running,1959,Best Actress,,Shirley MacLaine,24
The Big Country,1959,Best Supporting Actor,winner,Burl Ives,49
The Brothers Karamazov,1959,Best Supporting Actor,,Lee J. Cobb,47
Teacher's Pet,1959,Best Supporting Actor,,Gig Young,45
Some Came Running,1959,Best Supporting Actor,,Arthur Kennedy,45
The Defiant Ones,1959,Best Supporting Actor,,Theodore Bikel,34
Separate Tables,1959,Best Supporting Actress,winner,Wendy Hiller,46
Auntie Mame,1959,Best Supporting Actress,,Peggy Cass,34
Some Came Running,1959,Best Supporting Actress,,Martha Hyer,34
Lonelyhearts,1959,Best Supporting Actress,,Maureen Stapleton,33
The Defiant Ones,1959,Best Supporting Actress,,Cara Williams,33
Ben-Hur,1960,Best Actor,winner,Charlton Heston,36
The Last Angry Man,1960,Best Actor,,Paul Muni,64
Anatomy of a Murder,1960,Best Actor,,James Stewart,51
Some Like It Hot,1960,Best Actor,,Jack Lemmon,35
Room at the Top,1960,Best Actor,,Laurence Harvey,31
Room at the Top,1960,Best Actress,winner,Simone Signoret,39
"Suddenly, Last Summer",1960,Best Actress,,Katharine Hepburn,52
Pillow Talk,1960,Best Actress,,Doris Day,38
The Nun's Story,1960,Best Actress,,Audrey Hepburn,30
"Suddenly, Last Summer",1960,Best Actress,,Elizabeth Taylor,28
Ben-Hur,1960,Best Supporting Actor,winner,Hugh Griffith,47
The Diary of Anne Frank,1960,Best Supporting Actor,,Ed Wynn,73
Anatomy of a Murder,1960,Best Supporting Actor,,Arthur O'Connell,52
Anatomy of a Murder,1960,Best Supporting Actor,,George C. Scott,32
The Young Philadelphians,1960,Best Supporting Actor,,Robert Vaughn,27
The Diary of Anne Frank,1960,Best Supporting Actress,winner,Shelley Winters,39
Pillow Talk,1960,Best Supporting Actress,,Thelma Ritter,58
Room at the Top,1960,Best Supporting Actress,,Hermione Baddeley,53
Imitation of Life,1960,Best Supporting Actress,,Juanita Moore,37
Imitation of Life,1960,Best Supporting Actress,,Susan Kohner,23
Elmer Gantry,1961,Best Actor,winner,Burt Lancaster,47
Inherit the Wind,1961,Best Actor,,Spencer Tracy,61
The Entertainer,1961,Best Actor,,Laurence Olivier,53
Sons and Lovers,1961,Best Actor,,Trevor Howard,47
The Apartment,1961,Best Actor,,Jack Lemmon,36
Butterfield 8,1961,Best Actress,winner,Elizabeth Taylor,29
Sunrise at Campobello,1961,Best Actress,,Greer Garson,56
Never on Sunday,1961,Best Actress,,Melina Mercouri,40
The Sundowners,1961,Best Actress,,Deborah Kerr,39
The Apartment,1961,Best Actress,,Shirley MacLaine,27
Spartacus,1961,Best Supporting Actor,winner,Peter Ustinov,40
The Alamo,1961,Best Supporting Actor,,Chill Wills,58
The Apartment,1961,Best Supporting Actor,,Jack Kruschen,39
"Murder, Inc.",1961,Best Supporting Actor,,Peter Falk,33
Exodus,1961,Best Supporting Actor,,Sal Mineo,22
Elmer Gantry,1961,Best Supporting Actress,winner,Shirley Jones,27
The Sundowners,1961,Best Supporting Actress,,Glynis Johns,37
Psycho,1961,Best Supporting Actress,,Janet Leigh,33
Sons and Lovers,1961,Best Supporting Actress,,Mary Ure,28
The Dark at the Top of the Stairs,1961,Best Supporting Actress,,Shirley Knight,24
Judgment at Nuremberg,1962,Best Actor,winner,Maximilian Schell,31
Fanny,1962,Best Actor,,Charles Boyer,62
Judgment at Nuremberg,1962,Best Actor,,Spencer Tracy,62
The Hustler,1962,Best Actor,,Paul Newman,37
The Mark,1962,Best Actor,,Stuart Whitman,34
Two Women,1962,Best Actress,winner,Sophia Loren,27
Summer and Smoke,1962,Best Actress,,Geraldine Page,37
Breakfast at Tiffany's,1962,Best Actress,,Audrey Hepburn,32
The Hustler,1962,Best Actress,,Piper Laurie,30
Splendor in the Grass,1962,Best Actress,,Natalie Wood,23
West Side Story,1962,Best Supporting Actor,winner,George Chakiris,27
The Hustler,1962,Best Supporting Actor,,Jackie Gleason,46
Judgment at Nuremberg,1962,Best Supporting Actor,,Montgomery Clift,41
Pocketful of Miracles,1962,Best Supporting Actor,,Peter Falk,34
The Hustler,1962,Best Supporting Actor,,George C. Scott,34
West Side Story,1962,Best Supporting Actress,winner,Rita Moreno,30
The Children's Hour,1962,Best Supporting Actress,,Fay Bainter,68
The Roman Spring of Mrs. Stone,1962,Best Supporting Actress,,Lotte Lenya,63
Summer and Smoke,1962,Best Supporting Actress,,Una Merkel,58
Judgment at Nuremberg,1962,Best Supporting Actress,,Judy Garland,39
To Kill a Mockingbird,1963,Best Actor,winner,Gregory Peck,47
Birdman of Alcatraz,1963,Best Actor,,Burt Lancaster,49
Divorce - Italian Style,1963,Best Actor,,Marcello Mastroianni,38
Days of Wine and Roses,1963,Best Actor,,Jack Lemmon,38
Lawrence of Arabia,1963,Best Actor,,Peter O'Toole,30
The Miracle Worker,1963,Best Actress,winner,Anne Bancroft,31
Long Day's Journey Into Night,1963,Best Actress,,Katharine Hepburn,55
Whatever Happened to Baby Jane?,1963,Best Actress,,Bette Davis,55
Sweet Bird of Youth,1963,Best Actress,,Geraldine Page,38
Days of Wine and Roses,1963,Best Actress,,Lee Remick,27
Sweet Bird of Youth,1963,Best Supporting Actor,winner,Ed Begley,62
Birdman of Alcatraz,1963,Best Supporting Actor,,Telly Savalas,41
Lawrence of Arabia,1963,Best Supporting Actor,,Omar Sharif,31
Whatever Happened to Baby Jane?,1963,Best Supporting Actor,,Victor Buono,25
Billy Budd,1963,Best Supporting Actor,,Terence Stamp,24
The Miracle Worker,1963,Best Supporting Actress,winner,Patty Duke,16
Birdman of Alcatraz,1963,Best Supporting Actress,,Thelma Ritter,61
The Manchurian Candidate,1963,Best Supporting Actress,,Angela Lansbury,37
Sweet Bird of Youth,1963,Best Supporting Actress,,Shirley Knight,26
To Kill a Mockingbird,1963,Best Supporting Actress,,Mary Badham,10
Lilies of the Field,1964,Best Actor,winner,Sidney Poitier,37
Cleopatra,1964,Best Actor,,Rex Harrison,56
Hud,1964,Best Actor,,Paul Newman,39
This Sporting Life,1964,Best Actor,,Richard Harris,33
Tom Jones,1964,Best Actor,,Albert Finney,27
Hud,1964,Best Actress,winner,Patricia Neal,38
This Sporting Life,1964,Best Actress,,Rachel Roberts,36
The L-Shaped Room,1964,Best Actress,,Leslie Caron,32
Irma la Douce,1964,Best Actress,,Shirley MacLaine,29
Love with the Proper Stranger,1964,Best Actress,,Natalie Wood,25
Hud,1964,Best Supporting Actor,winner,Melvyn Douglas,63
The Cardinal,1964,Best Supporting Actor,,John Huston,57
Tom Jones,1964,Best Supporting Actor,,Hugh Griffith,51
Twilight of Honor,1964,Best Supporting Actor,,Nick Adams,32
"Captain Newman, M.D.",1964,Best Supporting Actor,,Bobby Darin,27
The V.I.P.s,1964,Best Supporting Actress,winner,Margaret Rutherford,71
Tom Jones,1964,Best Supporting Actress,,Dame Edith Evans,76
Lilies of the Field,1964,Best Supporting Actress,,Lilia Skala,67
Tom Jones,1964,Best Supporting Actress,,Joyce Redman,45
Tom Jones,1964,Best Supporting Actress,,Diane Cilento,30
My Fair Lady,1965,Best Actor,winner,Rex Harrison,57
Zorba the Greek,1965,Best Actor,,Anthony Quinn,49
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1965,Best Actor,,Peter Sellers,39
Becket,1965,Best Actor,,Richard Burton,39
Becket,1965,Best Actor,,Peter O'Toole,32
Mary Poppins,1965,Best Actress,winner,Julie Andrews,29
Seance on a Wet Afternoon,1965,Best Actress,,Kim Stanley,40
The Pumpkin Eater,1965,Best Actress,,Anne Bancroft,33
The Unsinkable Molly Brown,1965,Best Actress,,Debbie Reynolds,33
Marriage Italian Style,1965,Best Actress,,Sophia Loren,30
Topkapi,1965,Best Supporting Actor,winner,Peter Ustinov,44
My Fair Lady,1965,Best Supporting Actor,,Stanley Holloway,74
The Best Man,1965,Best Supporting Actor,,Lee Tracy,67
Becket,1965,Best Supporting Actor,,John Gielgud,61
Seven Days in May,1965,Best Supporting Actor,,Edmond O'Brien,49
Zorba the Greek,1965,Best Supporting Actress,winner,Lila Kedrova,46
The Chalk Garden,1965,Best Supporting Actress,,Dame Edith Evans,77
My Fair Lady,1965,Best Supporting Actress,,Gladys Cooper,76
"Hush... Hush, Sweet Charlotte",1965,Best Supporting Actress,,Agnes Moorehead,64
The Night of the Iguana,1965,Best Supporting Actress,,Grayson Hall,42
Cat Ballou,1966,Best Actor,winner,Lee Marvin,42
Othello,1966,Best Actor,,Laurence Olivier,58
Ship of Fools,1966,Best Actor,,Oskar Werner,43
The Pawnbroker,1966,Best Actor,,Rod Steiger,41
The Spy Who Came in From the Cold,1966,Best Actor,,Richard Burton,40
Darling,1966,Best Actress,winner,Julie Christie,25
Ship of Fools,1966,Best Actress,,Simone Signoret,45
The Sound of Music,1966,Best Actress,,Julie Andrews,30
The Collector,1966,Best Actress,,Samantha Eggar,27
A Patch of Blue,1966,Best Actress,,Elizabeth Hartman,22
A Thousand Clowns,1966,Best Supporting Actor,winner,Martin Balsam,46
Othello,1966,Best Supporting Actor,,Frank Finlay,39
The Flight of the Phoenix,1966,Best Supporting Actor,,Ian Bannen,37
Ship of Fools,1966,Best Supporting Actor,,Michael Dunn,31
Doctor Zhivago,1966,Best Supporting Actor,,Tom Courtenay,29
A Patch of Blue,1966,Best Supporting Actress,winner,Shelley Winters,45
The Sound of Music,1966,Best Supporting Actress,,Peggy Wood,74
Inside Daisy Clover,1966,Best Supporting Actress,,Ruth Gordon,69
Othello,1966,Best Supporting Actress,,Joyce Redman,47
Othello,1966,Best Supporting Actress,,Maggie Smith,31
A Man for All Seasons,1967,Best Actor,winner,Paul Scofield,45
Who's Afraid of Virginia Woolf?,1967,Best Actor,,Richard Burton,41
The Sand Pebbles,1967,Best Actor,,Steve McQueen,37
Alfie,1967,Best Actor,,Michael Caine,34
The Russians Are Coming the Russians Are Coming,1967,Best Actor,,Alan Arkin,33
Who's Afraid of Virginia Woolf?,1967,Best Actress,winner,Elizabeth Taylor,35
The Shop on Main Street,1967,Best Actress,,Ida Kaminska,67
A Man and a Woman,1967,Best Actress,,Anouk Aimee,34
Morgan!,1967,Best Actress,,Vanessa Redgrave,30
Georgy Girl,1967,Best Actress,,Lynn Redgrave,24
The Fortune Cookie,1967,Best Supporting Actor,winner,Walter Matthau,46
Georgy Girl,1967,Best Supporting Actor,,James Mason,57
A Man for All Seasons,1967,Best Supporting Actor,,Robert Shaw,39
The Sand Pebbles,1967,Best Supporting Actor,,Mako,33
Who's Afraid of Virginia Woolf?,1967,Best Supporting Actor,,George Segal,33
Who's Afraid of Virginia Woolf?,1967,Best Supporting Actress,winner,Sandy Dennis,29
Hawaii,1967,Best Supporting Actress,,Jocelyne Lagarde,62
A Man for All Seasons,1967,Best Supporting Actress,,Wendy Hiller,54
You're a Big Boy Now,1967,Best Supporting Actress,,Geraldine Page,42
Alfie,1967,Best Supporting Actress,,Vivien Merchant,37
In the Heat of the Night,1968,Best Actor,winner,Rod Steiger,43
Guess Who's Coming to Dinner,1968,Best Actor,,Spencer Tracy,68
Cool Hand Luke,1968,Best Actor,,Paul Newman,43
Bonnie and Clyde,1968,Best Actor,,Warren Beatty,31
The Graduate,1968,Best Actor,,Dustin Hoffman,30
Guess Who's Coming to Dinner,1968,Best Actress,winner,Katharine Hepburn,60
The Whisperers,1968,Best Actress,,Dame Edith Evans,80
Wait Until Dark,1968,Best Actress,,Audrey Hepburn,38
The Graduate,1968,Best Actress,,Anne Bancroft,36
Bonnie and Clyde,1968,Best Actress,,Faye Dunaway,27
Cool Hand Luke,1968,Best Supporting Actor,winner,George Kennedy,43
Guess Who's Coming to Dinner,1968,Best Supporting Actor,,Cecil Kellaway,77
The Dirty Dozen,1968,Best Supporting Actor,,John Cassavetes,38
Bonnie and Clyde,1968,Best Supporting Actor,,Gene Hackman,38
Bonnie and Clyde,1968,Best Supporting Actor,,Michael J. Pollard,28
Bonnie and Clyde,1968,Best Supporting Actress,winner,Estelle Parsons,40
Barefoot in the Park,1968,Best Supporting Actress,,Mildred Natwick,62
Guess Who's Coming to Dinner,1968,Best Supporting Actress,,Beah Richards,47
Thoroughly Modern Millie,1968,Best Supporting Actress,,Carol Channing,47
The Graduate,1968,Best Supporting Actress,,Katharine Ross,28
Charly,1969,Best Actor,winner,Cliff Robertson,45
Oliver!,1969,Best Actor,,Ron Moody,45
The Lion in Winter,1969,Best Actor,,Peter O'Toole,36
The Fixer,1969,Best Actor,,Alan Bates,35
The Heart Is a Lonely Hunter,1969,Best Actor,,Alan Arkin,35
The Lion in Winter,1969,Best Actress,winner,Katharine Hepburn,61
Funny Girl,1969,Best Actress,winner,Barbra Streisand,26
The Subject Was Roses,1969,Best Actress,,Patricia Neal,43
"Rachel, Rachel",1969,Best Actress,,Joanne Woodward,39
Isadora,1969,Best Actress,,Vanessa Redgrave,32
The Subject Was Roses,1969,Best Supporting Actor,winner,Jack Albertson,61
The Producers,1969,Best Supporting Actor,,Gene Wilder,35
Star!,1969,Best Supporting Actor,,Daniel Massey,35
Faces,1969,Best Supporting Actor,,Seymour Cassel,34
Oliver!,1969,Best Supporting Actor,,Jack Wild,16
Rosemary's Baby,1969,Best Supporting Actress,winner,Ruth Gordon,72
Funny Girl,1969,Best Supporting Actress,,Kay Medford,54
"Rachel, Rachel",1969,Best Supporting Actress,,Estelle Parsons,41
Faces,1969,Best Supporting Actress,,Lynn Carlin,31
The Heart Is a Lonely Hunter,1969,Best Supporting Actress,,Sondra Locke,24
True Grit,1970,Best Actor,winner,John Wayne,62
Anne of the Thousand Days,1970,Best Actor,,Richard Burton,44
"Goodbye, Mr. Chips",1970,Best Actor,,Peter O'Toole,37
Midnight Cowboy,1970,Best Actor,,Dustin Hoffman,32
Midnight Cowboy,1970,Best Actor,,Jon Voight,31
The Prime of Miss Jean Brodie,1970,Best Actress,winner,Maggie Smith,35
The Happy Ending,1970,Best Actress,,Jean Simmons,41
"They Shoot Horses, Don't They?",1970,Best Actress,,Jane Fonda,32
Anne of the Thousand Days,1970,Best Actress,,Genevieve Bujold,27
The Sterile Cuckoo,1970,Best Actress,,Liza Minnelli,24
"They Shoot Horses, Don't They?",1970,Best Supporting Actor,winner,Gig Young,56
Anne of the Thousand Days,1970,Best Supporting Actor,,Anthony Quayle,56
The Reivers,1970,Best Supporting Actor,,Rupert Crosse,42
Easy Rider,1970,Best Supporting Actor,,Jack Nicholson,32
Bob & Carol & Ted & Alice,1970,Best Supporting Actor,,Elliott Gould,31
Cactus Flower,1970,Best Supporting Actress,winner,Goldie Hawn,24
Midnight Cowboy,1970,Best Supporting Actress,,Sylvia Miles,37
Bob & Carol & Ted & Alice,1970,Best Supporting Actress,,Dyan Cannon,33
"They Shoot Horses, Don't They?",1970,Best Supporting Actress,,Susannah York,31
Last Summer,1970,Best Supporting Actress,,Catherine Burns,24
Patton,1971,Best Actor,winner,George C. Scott (refused the award),43
I Never Sang for My Father,1971,Best Actor,,Melvyn Douglas,70
The Great White Hope,1971,Best Actor,,James Earl Jones,40
Five Easy Pieces,1971,Best Actor,,Jack Nicholson,34
Love Story,1971,Best Actor,,Ryan O'Neal,30
Women in Love,1971,Best Actress,winner,Glenda Jackson,34
Love Story,1971,Best Actress,,Ali MacGraw,32
The Great White Hope,1971,Best Actress,,Jane Alexander,31
Ryan's Daughter,1971,Best Actress,,Sarah Miles,29
Diary of a Mad Housewife,1971,Best Actress,,Carrie Snodgress,25
Ryan's Daughter,1971,Best Supporting Actor,winner,John Mills,63
Little Big Man,1971,Best Supporting Actor,,Chief Dan George,71
Love Story,1971,Best Supporting Actor,,John Marley,63
I Never Sang for My Father,1971,Best Supporting Actor,,Gene Hackman,41
Lovers and Other Strangers,1971,Best Supporting Actor,,Richard Castellano,37
Airport,1971,Best Supporting Actress,winner,Helen Hayes,70
Airport,1971,Best Supporting Actress,,Maureen Stapleton,45
The Landlord,1971,Best Supporting Actress,,Lee Grant,45
M*A*S*H,1971,Best Supporting Actress,,Sally Kellerman,33
Five Easy Pieces,1971,Best Supporting Actress,,Karen Black,31
The French Connection,1972,Best Actor,winner,Gene Hackman,42
Sunday Bloody Sunday,1972,Best Actor,,Peter Finch,55
Kotch,1972,Best Actor,,Walter Matthau,51
The Hospital,1972,Best Actor,,George C. Scott,44
Fiddler on the Roof,1972,Best Actor,,Topol,36
Klute,1972,Best Actress,winner,Jane Fonda,34
Sunday Bloody Sunday,1972,Best Actress,,Glenda Jackson,35
"Mary, Queen of Scots",1972,Best Actress,,Vanessa Redgrave,35
Nicholas and Alexandra,1972,Best Actress,,Janet Suzman,33
Mccabe & Mrs. Miller,1972,Best Actress,,Julie Christie,31
The Last Picture Show,1972,Best Supporting Actor,winner,Ben Johnson,53
Sometimes a Great Notion,1972,Best Supporting Actor,,Richard Jaeckel,45
The French Connection,1972,Best Supporting Actor,,Roy Scheider,39
Fiddler on the Roof,1972,Best Supporting Actor,,Leonard Frey,33
The Last Picture Show,1972,Best Supporting Actor,,Jeff Bridges,22
The Last Picture Show,1972,Best Supporting Actress,winner,Cloris Leachman,45
The Go-Between,1972,Best Supporting Actress,,Margaret Leighton,50
The Last Picture Show,1972,Best Supporting Actress,,Ellen Burstyn,39
Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?,1972,Best Supporting Actress,,Barbara Harris,36
Carnal Knowledge,1972,Best Supporting Actress,,Ann-Margret,30
The Godfather,1973,Best Actor,winner,Marlon Brando (refused the award),49
Sleuth,1973,Best Actor,,Laurence Olivier,65
The Ruling Class,1973,Best Actor,,Peter O'Toole,40
Sleuth,1973,Best Actor,,Michael Caine,40
Sounder,1973,Best Actor,,Paul Winfield,33
Cabaret,1973,Best Actress,winner,Liza Minnelli,27
Sounder,1973,Best Actress,,Cicely Tyson,39
Travels with My Aunt,1973,Best Actress,,Maggie Smith,38
The Emigrants,1973,Best Actress,,Liv Ullmann,34
Lady Sings the Blues,1973,Best Actress,,Diana Ross,29
Cabaret,1973,Best Supporting Actor,winner,Joel Grey,40
The Heartbreak Kid,1973,Best Supporting Actor,,Eddie Albert,66
The Godfather,1973,Best Supporting Actor,,Robert Duvall,42
The Godfather,1973,Best Supporting Actor,,James Caan,33
The Godfather,1973,Best Supporting Actor,,Al Pacino,32
Butterflies Are Free,1973,Best Supporting Actress,winner,Eileen Heckart,54
The Poseidon Adventure,1973,Best Supporting Actress,,Shelley Winters,52
Pete 'n' Tillie,1973,Best Supporting Actress,,Geraldine Page,48
Fat City,1973,Best Supporting Actress,,Susan Tyrrell,28
The Heartbreak Kid,1973,Best Supporting Actress,,Jeannie Berlin,23
Save the Tiger,1974,Best Actor,winner,Jack Lemmon,49
Last Tango in Paris,1974,Best Actor,,Marlon Brando,50
The Sting,1974,Best Actor,,Robert Redford,37
The Last Detail,1974,Best Actor,,Jack Nicholson,36
Serpico,1974,Best Actor,,Al Pacino,33
A Touch of Class,1974,Best Actress,winner,Glenda Jackson,37
"Summer Wishes, Winter Dreams",1974,Best Actress,,Joanne Woodward,44
The Exorcist,1974,Best Actress,,Ellen Burstyn,41
Cinderella Liberty,1974,Best Actress,,Marsha Mason,32
The Way We Were,1974,Best Actress,,Barbra Streisand,31
The Paper Chase,1974,Best Supporting Actor,winner,John Houseman,71
Save the Tiger,1974,Best Supporting Actor,,Jack Gilford,65
Bang the Drum Slowly,1974,Best Supporting Actor,,Vincent Gardenia,54
The Exorcist,1974,Best Supporting Actor,,Jason Miller,34
The Last Detail,1974,Best Supporting Actor,,Randy Quaid,23
Paper Moon,1974,Best Supporting Actress,winner,Tatum O'Neal,10
"Summer Wishes, Winter Dreams",1974,Best Supporting Actress,,Sylvia Sidney,63
Paper Moon,1974,Best Supporting Actress,,Madeline Kahn,31
American Graffiti,1974,Best Supporting Actress,,Candy Clark,26
The Exorcist,1974,Best Supporting Actress,,Linda Blair,15
Harry and Tonto,1975,Best Actor,winner,Art Carney,56
Murder on the Orient Express,1975,Best Actor,,Albert Finney,38
Chinatown,1975,Best Actor,,Jack Nicholson,37
Lenny,1975,Best Actor,,Dustin Hoffman,37
The Godfather Part II,1975,Best Actor,,Al Pacino,34
Alice Doesn't Live Here Anymore,1975,Best Actress,winner,Ellen Burstyn,42
A Woman Under the Influence,1975,Best Actress,,Gena Rowlands,44
Claudine,1975,Best Actress,,Diahann Carroll,39
Chinatown,1975,Best Actress,,Faye Dunaway,34
Lenny,1975,Best Actress,,Valerie Perrine,31
The Godfather Part II,1975,Best Supporting Actor,winner,Robert De Niro,31
The Towering Inferno,1975,Best Supporting Actor,,Fred Astaire,75
The Godfather Part II,1975,Best Supporting Actor,,Lee Strasberg,73
The Godfather Part II,1975,Best Supporting Actor,,Michael V. Gazzo,52
Thunderbolt and Lightfoot,1975,Best Supporting Actor,,Jeff Bridges,25
Murder on the Orient Express,1975,Best Supporting Actress,winner,Ingrid Bergman,59
Day for Night,1975,Best Supporting Actress,,Valentina Cortese,52
Alice Doesn't Live Here Anymore,1975,Best Supporting Actress,,Diane Ladd,39
Blazing Saddles,1975,Best Supporting Actress,,Madeline Kahn,32
The Godfather Part II,1975,Best Supporting Actress,,Talia Shire,28
One Flew Over the Cuckoo's Nest,1976,Best Actor,winner,Jack Nicholson,38
The Sunshine Boys,1976,Best Actor,,Walter Matthau,55
"Give 'em Hell, Harry!",1976,Best Actor,,James Whitmore,54
The Man in the Glass Booth,1976,Best Actor,,Maximilian Schell,45
Dog Day Afternoon,1976,Best Actor,,Al Pacino,35
One Flew Over the Cuckoo's Nest,1976,Best Actress,winner,Louise Fletcher,41
Hedda,1976,Best Actress,,Glenda Jackson,39
Tommy,1976,Best Actress,,Ann-Margret,34
Hester Street,1976,Best Actress,,Carol Kane,23
The Story of Adele H.,1976,Best Actress,,Isabelle Adjani,20
The Sunshine Boys,1976,Best Supporting Actor,winner,George Burns,80
The Day of the Locust,1976,Best Supporting Actor,,Burgess Meredith,68
Shampoo,1976,Best Supporting Actor,,Jack Warden,55
Dog Day Afternoon,1976,Best Supporting Actor,,Chris Sarandon,33
One Flew Over the Cuckoo's Nest,1976,Best Supporting Actor,,Brad Dourif,26
Shampoo,1976,Best Supporting Actress,winner,Lee Grant,50
"Farewell, My Lovely",1976,Best Supporting Actress,,Sylvia Miles,43
Nashville,1976,Best Supporting Actress,,Lily Tomlin,36
Jacqueline Susann's Once Is Not Enough,1976,Best Supporting Actress,,Brenda Vaccaro,36
Nashville,1976,Best Supporting Actress,,Ronee Blakely,30
Network,1977,Best Actor,winner,Peter Finch,60
Network,1977,Best Actor,,William Holden,58
Seven Beauties,1977,Best Actor,,Giancarlo Giannini,34
Taxi Driver,1977,Best Actor,,Robert De Niro,33
Rocky,1977,Best Actor,,Sylvester Stallone,30
Network,1977,Best Actress,winner,Faye Dunaway,36
Face to Face,1977,Best Actress,,Liv Ullmann,38
"Cousin, Cousine",1977,Best Actress,,Marie-Christine Barrault,33
Rocky,1977,Best Actress,,Talia Shire,30
Carrie,1977,Best Actress,,Sissy Spacek,27
All the President's Men,1977,Best Supporting Actor,winner,Jason Robards,54
Marathon Man,1977,Best Supporting Actor,,Laurence Olivier,69
Rocky,1977,Best Supporting Actor,,Burgess Meredith,69
Network,1977,Best Supporting Actor,,Ned Beatty,39
Rocky,1977,Best Supporting Actor,,Burt Young,36
