film,year,award,winner,name,age
Night Must Fall,1938,Best Supporting Actress,,Dame May Whitty,72
Dead End,1938,Best Supporting Actress,,Claire Trevor,28
Stage Door,1938,Best Supporting Actress,,Andrea Leeds,23
Stella Dallas,1938,Best Supporting Actress,,Anne Shirley,19
Boys Town,1939,Best Actor,winner,Spencer Tracy,38
Pygmalion,1939,Best Actor,,Leslie Howard,45
Angels with Dirty Faces,1939,Best Actor,,James Cagney,39
Algiers,1939,Best Actor,,Charles Boyer,39
The Citadel,1939,Best Actor,,Robert Donat,33
Jezebel,1939,Best Actress,winner,Bette Davis,30
White Banners,1939,Best Actress,,Fay Bainter,45
Marie Antoinette,1939,Best Actress,,Norma Shearer,36
Three Comrades,1939,Best Actress,,Margaret Sullavan,29
Pygmalion,1939,Best Actress,,Wendy Hiller,26
Kentucky,1939,Best Supporting Actor,winner,Walter Brennan,44
Algiers,1939,Best Supporting Actor,,Gene Lockhart,47
If I Were King,1939,Best Supporting Actor,,Basil Rathbone,46
Marie Antoinette,1939,Best Supporting Actor,,Robert Morley,30
Four Daughters,1939,Best Supporting Actor,,John Garfield,25
Jezebel,1939,Best Supporting Actress,winner,Fay Bainter,45
Merrily We Live,1939,Best Supporting Actress,,Billie Burke,54
You Can't Take It With You,1939,Best Supporting Actress,,Spring Byington,52
Of Human Hearts,1939,Best Supporting Actress,,Beulah Bondi,50
The Great Waltz,1939,Best Supporting Actress,,Miliza Korjus,29
"Goodbye, Mr. Chips",1940,Best Actor,winner,Robert Donat,34
Gone with the Wind,1940,Best Actor,,Clark Gable,39
Wuthering Heights,1940,Best Actor,,Laurence Olivier,32
Mr. Smith Goes to Washington,1940,Best Actor,,James Stewart,31
Babes in Arms,1940,Best Actor,,Mickey Rooney,19
Gone with the Wind,1940,Best Actress,winner,Vivien Leigh,26
Love Affair,1940,Best Actress,,Irene Dunne,41
"Goodbye, Mr. Chips",1940,Best Actress,,Greer Garson,35
Ninotchka,1940,Best Actress,,Greta Garbo,34
Dark Victory,1940,Best Actress,,Bette Davis,31
Stagecoach,1940,Best Supporting Actor,winner,Thomas Mitchell,47
Mr. Smith Goes to Washington,1940,Best Supporting Actor,,Harry Carey,62
Mr. Smith Goes to Washington,1940,Best Supporting Actor,,Claude Rains,50
Beau Geste,1940,Best Supporting Actor,,Brian Donlevy,39
Juarez,1940,Best Supporting Actor,,Brian Aherne,37
Gone with the Wind,1940,Best Supporting Actress,winner,Hattie McDaniel,44
Love Affair,1940,Best Supporting Actress,,Maria Ouspenskaya,63
Drums Along the Mohawk,1940,Best Supporting Actress,,Edna May Oliver,56
Wuthering Heights,1940,Best Supporting Actress,,Geraldine Fitzgerald,26
Gone with the Wind,1940,Best Supporting Actress,,Olivia de Havilland,23
The Philadelphia Story,1941,Best Actor,winner,James Stewart,32
The Great Dictator,1941,Best Actor,,Charles Chaplin,51
Abe Lincoln in Illinois,1941,Best Actor,,Raymond Massey,44
The Grapes of Wrath,1941,Best Actor,,Henry Fonda,35
Rebecca,1941,Best Actor,,Laurence Olivier,33
Kitty Foyle,1941,Best Actress,winner,Ginger Rogers,29
The Philadelphia Story,1941,Best Actress,,Katharine Hepburn,33
The Letter,1941,Best Actress,,Bette Davis,32
Our Town,1941,Best Actress,,Martha Scott,28
Rebecca,1941,Best Actress,,Joan Fontaine,23
The Westerner,1941,Best Supporting Actor,winner,Walter Brennan,46
Foreign Correspondent,1941,Best Supporting Actor,,Albert Bassermann,73
The Letter,1941,Best Supporting Actor,,James Stephenson,51
The Great Dictator,1941,Best Supporting Actor,,Jack Oakie,37
They Knew What They Wanted,1941,Best Supporting Actor,,William Gargan,35
The Grapes of Wrath,1941,Best Supporting Actress,winner,Jane Darwell,61
Primrose Path,1941,Best Supporting Actress,,Marjorie Rambeau,51
Rebecca,1941,Best Supporting Actress,,Judith Anderson,44
"All This, and Heaven Too",1941,Best Supporting Actress,,Barbara O'Neil,30
The Philadelphia Story,1941,Best Supporting Actress,,Ruth Hussey,29
Sergeant York,1942,Best Actor,winner,Gary Cooper,40
All That Money Can Buy,1942,Best Actor,,Walter Huston,58
Penny Serenade,1942,Best Actor,,Cary Grant,38
Here Comes Mr. Jordan,1942,Best Actor,,Robert Montgomery,37
Citizen Kane,1942,Best Actor,,Orson Welles,26
Suspicion,1942,Best Actress,winner,Joan Fontaine,24
Blossoms in the Dust,1942,Best Actress,,Greer Garson,37
Ball of Fire,1942,Best Actress,,Barbara Stanwyck,34
The Little Foxes,1942,Best Actress,,Bette Davis,33
Hold Back the Dawn,1942,Best Actress,,Olivia de Havilland,25
How Green Was My Valley,1942,Best Supporting Actor,winner,Donald Crisp,59
The Devil and Miss Jones,1942,Best Supporting Actor,,Charles Coburn,64
The Maltese Falcon,1942,Best Supporting Actor,,Sydney Greenstreet,62
Here Comes Mr. Jordan,1942,Best Supporting Actor,,James Gleason,59
Sergeant York,1942,Best Supporting Actor,,Walter Brennan,47
The Great Lie,1942,Best Supporting Actress,winner,Mary Astor,35
How Green Was My Valley,1942,Best Supporting Actress,,Sara Allgood,62
Sergeant York,1942,Best Supporting Actress,,Margaret Wycherly,60
The Little Foxes,1942,Best Supporting Actress,,Patricia Collinge,49
The Little Foxes,1942,Best Supporting Actress,,Teresa Wright,23
Yankee Doodle Dandy,1943,Best Actor,winner,James Cagney,43
The Pied Piper,1943,Best Actor,,Monty Woolley,54
Random Harvest,1943,Best Actor,,Ronald Colman,52
Mrs. Miniver,1943,Best Actor,,Walter Pidgeon,45
The Pride of the Yankees,1943,Best Actor,,Gary Cooper,41
Mrs. Miniver,1943,Best Actress,winner,Greer Garson,38
Woman of the Year,1943,Best Actress,,Katharine Hepburn,35
My Sister Eileen,1943,Best Actress,,Rosalind Russell,35
"Now, Voyager",1943,Best Actress,,Bette Davis,34
The Pride of the Yankees,1943,Best Actress,,Teresa Wright,24
Johnny Eager,1943,Best Supporting Actor,winner,Van Heflin,32
Mrs. Miniver,1943,Best Supporting Actor,,Henry Travers,69
Yankee Doodle Dandy,1943,Best Supporting Actor,,Walter Huston,59
Tortilla Flat,1943,Best Supporting Actor,,Frank Morgan,52
Wake Island,1943,Best Supporting Actor,,William Bendix,37
Mrs. Miniver,1943,Best Supporting Actress,winner,Teresa Wright,24
Mrs. Miniver,1943,Best Supporting Actress,,Dame May Whitty,77
"Now, Voyager",1943,Best Supporting Actress,,Gladys Cooper,54
The Magnificent Ambersons,1943,Best Supporting Actress,,Agnes Moorehead,42
Random Harvest,1943,Best Supporting Actress,,Susan Peters,21
Watch on the Rhine,1944,Best Actor,winner,Paul Lukas,52
Madame Curie,1944,Best Actor,,Walter Pidgeon,46
Casablanca,1944,Best Actor,,Humphrey Bogart,44
For Whom the Bell Tolls,1944,Best Actor,,Gary Cooper,42
The Human Comedy,1944,Best Actor,,Mickey Rooney,23
The Song of Bernadette,1944,Best Actress,winner,Jennifer Jones,25
The More the Merrier,1944,Best Actress,,Jean Arthur,43
Madame Curie,1944,Best Actress,,Greer Garson,39
For Whom the Bell Tolls,1944,Best Actress,,Ingrid Bergman,28
The Constant Nymph,1944,Best Actress,,Joan Fontaine,26
The More the Merrier,1944,Best Supporting Actor,winner,Charles Coburn,66
Casablanca,1944,Best Supporting Actor,,Claude Rains,54
The Song of Bernadette,1944,Best Supporting Actor,,Charles Bickford,53
Sahara,1944,Best Supporting Actor,,J. Carrol Naish,48
For Whom the Bell Tolls,1944,Best Supporting Actor,,Akim Tamiroff,44
For Whom the Bell Tolls,1944,Best Supporting Actress,winner,Katina Paxinou,43
Watch on the Rhine,1944,Best Supporting Actress,,Lucile Watson,64
The Song of Bernadette,1944,Best Supporting Actress,,Gladys Cooper,55
The Song of Bernadette,1944,Best Supporting Actress,,Anne Revere,40
So Proudly We Hail!,1944,Best Supporting Actress,,Paulette Goddard,33
Going My Way,1945,Best Actor,winner,Bing Crosby,41
Going My Way,1945,Best Actor,,Barry Fitzgerald,57
Gaslight,1945,Best Actor,,Charles Boyer,45
None But the Lonely Heart,1945,Best Actor,,Cary Grant,41
Wilson,1945,Best Actor,,Alexander Knox,38
Gaslight,1945,Best Actress,winner,Ingrid Bergman,29
Since You Went Away,1945,Best Actress,,Claudette Colbert,41
Mrs. Parkington,1945,Best Actress,,Greer Garson,40
Double Indemnity,1945,Best Actress,,Barbara Stanwyck,37
Mr. Skeffington,1945,Best Actress,,Bette Davis,36
Going My Way,1945,Best Supporting Actor,winner,Barry Fitzgerald,57
Since You Went Away,1945,Best Supporting Actor,,Monty Woolley,56
Mr. Skeffington,1945,Best Supporting Actor,,Claude Rains,55
Laura,1945,Best Supporting Actor,,Clifton Webb,55
The Seventh Cross,1945,Best Supporting Actor,,Hume Cronyn,33
None But the Lonely Heart,1945,Best Supporting Actress,winner,Ethel Barrymore,65
Dragon Seed,1945,Best Supporting Actress,,Aline MacMahon,45
Mrs. Parkington,1945,Best Supporting Actress,,Agnes Moorehead,44
Since You Went Away,1945,Best Supporting Actress,,Jennifer Jones,26
Gaslight,1945,Best Supporting Actress,,Angela Lansbury,19
The Lost Weekend,1946,Best Actor,winner,Ray Milland,39
The Bells of St. Mary's,1946,Best Actor,,Bing Crosby,42
Anchors Aweigh,1946,Best Actor,,Gene Kelly,33
A Song to Remember,1946,Best Actor,,Cornel Wilde,33
The Keys of the Kingdom,1946,Best Actor,,Gregory Peck,29
Mildred Pierce,1946,Best Actress,winner,Joan Crawford,41
The Valley of Decision,1946,Best Actress,,Greer Garson,41
The Bells of St. Mary's,1946,Best Actress,,Ingrid Bergman,30
Love Letters,1946,Best Actress,,Jennifer Jones,27
Leave Her to Heaven,1946,Best Actress,,Gene Tierney,25
A Tree Grows in Brooklyn,1946,Best Supporting Actor,winner,James Dunn,44
Spellbound,1946,Best Supporting Actor,,Michael Chekhov,54
